DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.

SEPARATOR TAB
#SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL	ANI

#dataset color (can be changed later)
#COLOR #ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
#COLOR_BRANCHES 0


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE	ANI
LEGEND_POSITION_X	1125
LEGEND_POSITION_Y	700
LEGEND_SHAPES	1	1	1	1	1
LEGEND_COLORS	#E2EE5EFF	#75C56EFF	#209478FF	#096168FF	#1D3141FF
LEGEND_LABELS	80-84.9	85-89.9	90-94.9	95-98.9	>99	
#LEGEND_SHAPE_SCALES 1 1 0.5 1

#width of the colored strip
STRIP_WIDTH	50

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#if set to 1, border will be drawn completely around each colored strip box
#COMPLETE_BORDER 0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#display or hide the individual label inside each colored strip (when defined in the data below)
#SHOW_STRIP_LABELS 1

#position of the strip label within the box; 'top', 'center' or 'bottom'
#STRIP_LABEL_POSITION center

#strip label size factor (relative to the tree leaf labels)
#STRIP_LABEL_SIZE_FACTOR 1


#rotation of the strip labels; used only in rectangular tree display mode
#STRIP_LABEL_ROTATION 0

#strip label shift in pixels (positive or negative)
#STRIP_LABEL_SHIFT 0

#STRIP_LABEL_COLOR #000000

#draw a black outline around the text (width in pixels)
#STRIP_LABEL_OUTLINE 0.5

#display or hide the dataset label above the colored strip
SHOW_LABELS	

#dataset label size factor
SIZE_FACTOR	15

#dataset label rotation
#LABEL_ROTATION 0

#dataset label shift in pixels (positive or negative)
LABEL_SHIFT	2

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
user_genome	anigroupcolor	anigroup
iA11_bin.4	#1D3141FF	>99
iB32_bin.13	#1D3141FF	>99
iB24_bin.10	#1D3141FF	>99
iC8_bin.37	#1D3141FF	>99
iB24_bin.30	#1D3141FF	>99
iC21_35	#1D3141FF	>99
iB5_91	#1D3141FF	>99
iA46_bin.12	#1D3141FF	>99
iB5_bin.29_sub	#1D3141FF	>99
iB9_35	#1D3141FF	>99
iB68_4	#1D3141FF	>99
iB39_5_sub	#1D3141FF	>99
iB73_bin.12	#1D3141FF	>99
iB44_bin.5_sub	#1D3141FF	>99
iB17_8	#1D3141FF	>99
iC16_81	#1D3141FF	>99
iC16_bin.21	#1D3141FF	>99
iC16_bin.28	#1D3141FF	>99
iC9_95	#1D3141FF	>99
iC3_69	#1D3141FF	>99
iC3_70	#1D3141FF	>99
iB10_bin.23	#1D3141FF	>99
iA49_bin.2	#1D3141FF	>99
iA49_maxbin.002	#1D3141FF	>99
iC16_maxbin.009	#1D3141FF	>99
iB30_bin.24	#1D3141FF	>99
iA50_45	#1D3141FF	>99
iB30_bin.40	#1D3141FF	>99
iA28_bin.4	#1D3141FF	>99
iB15_57	#1D3141FF	>99
iC15_32_sub	#1D3141FF	>99
iB74_bin.29	#1D3141FF	>99
iB11_bin.7	#1D3141FF	>99
iB36_bin.18	#1D3141FF	>99
iB18_bin.49	#1D3141FF	>99
iB49_bin.24	#1D3141FF	>99
iB74_maxbin.003	#1D3141FF	>99
iC13_1	#1D3141FF	>99
iB37_53	#1D3141FF	>99
iB74_maxbin.011	#1D3141FF	>99
iA18_39	#1D3141FF	>99
iC20_61	#1D3141FF	>99
iC18_maxbin.005_sub	#1D3141FF	>99
iA54_59	#1D3141FF	>99
iB32_maxbin.003	#1D3141FF	>99
iB2_bin.25	#1D3141FF	>99
iA55_26	#1D3141FF	>99
iC21_55_sub	#1D3141FF	>99
iA46_bin.9	#1D3141FF	>99
iB33_bin.3	#1D3141FF	>99
iA34_bin.2	#1D3141FF	>99
iB29_4_sub	#1D3141FF	>99
iA56_bin.17	#1D3141FF	>99
iB39_bin.13	#1D3141FF	>99
iA57_0	#1D3141FF	>99
iA47_32	#1D3141FF	>99
iC2_0	#1D3141FF	>99
iB34_74	#1D3141FF	>99
iB30_11	#1D3141FF	>99
iB48_bin.1	#1D3141FF	>99
iC33_20_sub	#1D3141FF	>99
iC22_bin.34_sub	#1D3141FF	>99
iC22_bin.8	#1D3141FF	>99
iB4_78	#1D3141FF	>99
iB74_34	#1D3141FF	>99
iA60_bin.2	#1D3141FF	>99
iB4_bin.21	#1D3141FF	>99
iB36_33	#1D3141FF	>99
iC2_bin.27	#1D3141FF	>99
iB49_9	#1D3141FF	>99
iB15_42	#1D3141FF	>99
iC4_114	#1D3141FF	>99
iB49_bin.10	#1D3141FF	>99
iB44_25	#1D3141FF	>99
iA52_12_sub	#1D3141FF	>99
iC4_22_sub	#1D3141FF	>99
iC4_29	#1D3141FF	>99
iC4_31	#1D3141FF	>99
iA64_maxbin.001	#1D3141FF	>99
iC4_44	#1D3141FF	>99
iC4_54	#1D3141FF	>99
iA67_10	#1D3141FF	>99
iC25_bin.7	#1D3141FF	>99
iB28_63	#1D3141FF	>99
iA32_bin.8	#1D3141FF	>99
iB37_bin.29_sub	#1D3141FF	>99
iB8_51	#1D3141FF	>99
iA68_4	#1D3141FF	>99
iB28_bin.32	#1D3141FF	>99
iB39_27	#1D3141FF	>99
iB71_17	#1D3141FF	>99
iA47_10	#1D3141FF	>99
iB9_maxbin.004	#1D3141FF	>99
iB76_bin.31	#1D3141FF	>99
iB5_bin.50	#1D3141FF	>99
iA24_17	#1D3141FF	>99
iA35_bin.6_sub	#1D3141FF	>99
iB42_bin.3	#1D3141FF	>99
iC3_64	#1D3141FF	>99
iC4_maxbin.002	#1D3141FF	>99
iC4_maxbin.012	#1D3141FF	>99
iB43_33	#1D3141FF	>99
iC3_81	#1D3141FF	>99
iC8_49	#1D3141FF	>99
iB10_bin.26	#1D3141FF	>99
iB30_bin.20	#1D3141FF	>99
iB43_bin.20	#1D3141FF	>99
iC6_5	#1D3141FF	>99
iC1_bin.2	#1D3141FF	>99
iB59_54	#1D3141FF	>99
iA77_21	#1D3141FF	>99
iB52_36	#1D3141FF	>99
iC18_2_sub	#1D3141FF	>99
iB45_57	#1D3141FF	>99
iB27_bin.8	#1D3141FF	>99
iC8_41	#1D3141FF	>99
iB69_36	#1D3141FF	>99
iC8_63	#1D3141FF	>99
iA78_bin.3	#1D3141FF	>99
iA43_18	#1D3141FF	>99
iB72_54	#1D3141FF	>99
iB13_17	#1D3141FF	>99
iC8_bin.26	#1D3141FF	>99
iB72_bin.12	#1D3141FF	>99
iB32_bin.24	#1D3141FF	>99
iB24_bin.13	#1D3141FF	>99
iC12_108	#1D3141FF	>99
iB33_57	#1D3141FF	>99
iA9_bin.5	#1D3141FF	>99
iC14_31	#1D3141FF	>99
iC9_bin.22	#1D3141FF	>99
iA69_bin.3	#1D3141FF	>99
iC9_114	#1D3141FF	>99
iC9_12	#1D3141FF	>99
iC3_20	#1D3141FF	>99
iC13_bin.54	#1D3141FF	>99
iC3_42	#1D3141FF	>99
iC3_54_sub	#1D3141FF	>99
iA35_bin.9	#1D3141FF	>99
iB11_bin.4	#1D3141FF	>99
iB10_17	#1D3141FF	>99
iB13_bin.15	#1D3141FF	>99
iA55_27	#1D3141FF	>99
iB74_maxbin.001	#1D3141FF	>99
iC14_57_sub	#1D3141FF	>99
iB10_bin.6	#1D3141FF	>99
iC9_bin.33_sub	#1D3141FF	>99
iC14_maxbin.005	#1D3141FF	>99
iC3_bin.55	#1D3141FF	>99
iB4_bin.30	#1D3141FF	>99
iB36_47	#1D3141FF	>99
iC2_bin.44	#1D3141FF	>99
iB27_6	#1D3141FF	>99
iC13_60	#1D3141FF	>99
iC14_15	#1D3141FF	>99
iB47_bin.33	#1D3141FF	>99
iC8_bin.76	#1D3141FF	>99
iC12_maxbin.019	#1D3141FF	>99
iB46_maxbin.027	#1D3141FF	>99
iB77_19	#1D3141FF	>99
nC33_bin.228	#1D3141FF	>99
iB13_maxbin.020	#1D3141FF	>99
iC13_24	#1D3141FF	>99
iB56_bin.17_sub	#1D3141FF	>99
iB13_60	#1D3141FF	>99
iC14_maxbin.002	#1D3141FF	>99
iA58_18_sub	#1D3141FF	>99
iC23_bin.12	#1D3141FF	>99
iB49_35	#1D3141FF	>99
iC21_bin.9	#1D3141FF	>99
iC33_29	#1D3141FF	>99
iB74_8	#1D3141FF	>99
iB49_74	#1D3141FF	>99
iB29_34	#75C56EFF	85-89.9
iC11_55	#209478FF	90-94.9
nC27_bin.11	#209478FF	90-94.9
iB13_bin.31	#209478FF	90-94.9
iC18_bin.3	#209478FF	90-94.9
nC27_bin.130	#209478FF	90-94.9
iB46_2	#209478FF	90-94.9
iB70_bin.37	#209478FF	90-94.9
iA1_4_sub	#096168FF	95-98.9
iA1_maxbin.001	#096168FF	95-98.9
iA1_maxbin.002	#096168FF	95-98.9
iA10_31	#096168FF	95-98.9
iA10_bin.7	#096168FF	95-98.9
iB23_bin.15	#096168FF	95-98.9
iA12_6	#096168FF	95-98.9
iA12_bin.8	#096168FF	95-98.9
iA13_22_sub	#096168FF	95-98.9
iA13_bin.11	#096168FF	95-98.9
iA13_bin.3	#096168FF	95-98.9
iA13_maxbin.008	#096168FF	95-98.9
iA15_43	#096168FF	95-98.9
iA17_bin.1	#096168FF	95-98.9
iA17_bin.5	#096168FF	95-98.9
iB24_28	#096168FF	95-98.9
iB24_34	#096168FF	95-98.9
iB24_59	#096168FF	95-98.9
iA19_10	#096168FF	95-98.9
iA19_bin.10	#096168FF	95-98.9
iB61_71	#096168FF	95-98.9
iA19_bin.16	#096168FF	95-98.9
iA19_bin.18	#096168FF	95-98.9
iA19_bin.19	#096168FF	95-98.9
iA19_bin.3	#096168FF	95-98.9
iA19_bin.4	#096168FF	95-98.9
iA19_bin.6	#096168FF	95-98.9
iA19_maxbin.005_sub	#096168FF	95-98.9
iA2_bin.1	#096168FF	95-98.9
iA21_11	#096168FF	95-98.9
iA21_17	#096168FF	95-98.9
iA21_bin.9	#096168FF	95-98.9
iB25_58	#096168FF	95-98.9
iA24_maxbin.001	#096168FF	95-98.9
iA26_30	#096168FF	95-98.9
iA26_6	#096168FF	95-98.9
iA26_bin.8_sub	#096168FF	95-98.9
iA27_2	#096168FF	95-98.9
iA27_7	#096168FF	95-98.9
iA27_bin.2	#096168FF	95-98.9
iA27_bin.6	#096168FF	95-98.9
iA27_bin.7	#096168FF	95-98.9
iA28_55	#096168FF	95-98.9
iA28_57	#096168FF	95-98.9
iA28_bin.11	#096168FF	95-98.9
iB27_57	#096168FF	95-98.9
iA28_maxbin.002_sub	#096168FF	95-98.9
iA29_24	#096168FF	95-98.9
iA29_32	#096168FF	95-98.9
iB27_bin.6	#096168FF	95-98.9
iA29_8	#096168FF	95-98.9
iA30_21	#096168FF	95-98.9
iA30_35	#096168FF	95-98.9
iA30_38	#096168FF	95-98.9
iA30_45	#096168FF	95-98.9
iA30_bin.10	#096168FF	95-98.9
iB28_48	#096168FF	95-98.9
iA32_28_sub	#096168FF	95-98.9
iA32_bin.2	#096168FF	95-98.9
iB68_bin.23_sub	#096168FF	95-98.9
iB28_bin.1	#096168FF	95-98.9
iA33_14	#096168FF	95-98.9
iA33_bin.8	#096168FF	95-98.9
iA33_bin.9	#096168FF	95-98.9
iA33_maxbin.003	#096168FF	95-98.9
iB29_27	#096168FF	95-98.9
iA34_24_sub	#096168FF	95-98.9
iB29_37	#096168FF	95-98.9
iA34_maxbin.001	#096168FF	95-98.9
iA35_0	#096168FF	95-98.9
iA35_18	#096168FF	95-98.9
iA35_bin.4	#096168FF	95-98.9
iB29_bin.18	#096168FF	95-98.9
iA35_bin.8	#096168FF	95-98.9
iB29_bin.4	#096168FF	95-98.9
iA35_maxbin.003_sub	#096168FF	95-98.9
iA36_16	#096168FF	95-98.9
iB30_25	#096168FF	95-98.9
iB30_37	#096168FF	95-98.9
iA38_3	#096168FF	95-98.9
iA38_47	#096168FF	95-98.9
iB71_18_sub	#096168FF	95-98.9
iB71_2	#096168FF	95-98.9
iA39_bin.8	#096168FF	95-98.9
iA4_maxbin.001	#096168FF	95-98.9
iA4_maxbin.002	#096168FF	95-98.9
iA41_27	#096168FF	95-98.9
iA41_28	#096168FF	95-98.9
iA41_3	#096168FF	95-98.9
iA41_36	#096168FF	95-98.9
iA41_39	#096168FF	95-98.9
iA41_52	#096168FF	95-98.9
iA41_7	#096168FF	95-98.9
iA41_maxbin.014	#096168FF	95-98.9
iA42_bin.1	#096168FF	95-98.9
iB32_46	#096168FF	95-98.9
iB32_59	#096168FF	95-98.9
iA43_bin.7	#096168FF	95-98.9
iB72_98	#096168FF	95-98.9
iC29_8	#096168FF	95-98.9
iA45_44	#096168FF	95-98.9
iA46_27	#096168FF	95-98.9
iA46_29	#096168FF	95-98.9
iA46_37	#096168FF	95-98.9
iB33_bin.10	#096168FF	95-98.9
iB33_bin.14	#096168FF	95-98.9
iB73_56	#096168FF	95-98.9
iA47_1	#096168FF	95-98.9
iB33_maxbin.011	#096168FF	95-98.9
iA47_16	#096168FF	95-98.9
iA47_22	#096168FF	95-98.9
iA47_26	#096168FF	95-98.9
iA47_27	#096168FF	95-98.9
iB34_64	#096168FF	95-98.9
iA48_10	#096168FF	95-98.9
iA48_3	#096168FF	95-98.9
iA48_bin.5	#096168FF	95-98.9
iA49_bin.10	#096168FF	95-98.9
iB34_bin.30	#096168FF	95-98.9
iB34_bin.38	#096168FF	95-98.9
iB34_bin.42_sub	#096168FF	95-98.9
iA50_10	#096168FF	95-98.9
iA50_13	#096168FF	95-98.9
iA50_17	#096168FF	95-98.9
iA50_22	#096168FF	95-98.9
iC3_bin.57	#096168FF	95-98.9
iA50_bin.10	#096168FF	95-98.9
iA50_bin.4	#096168FF	95-98.9
iA51_17	#096168FF	95-98.9
iA51_2	#096168FF	95-98.9
iA51_bin.4	#096168FF	95-98.9
iB36_bin.26	#096168FF	95-98.9
iC30_bin.15	#096168FF	95-98.9
iA53_10	#096168FF	95-98.9
iA53_11	#096168FF	95-98.9
iA53_33_sub	#096168FF	95-98.9
iC31_43	#096168FF	95-98.9
iA53_bin.8	#096168FF	95-98.9
iA54_1	#096168FF	95-98.9
iA54_17	#096168FF	95-98.9
iB37_bin.18	#096168FF	95-98.9
iA54_bin.4	#096168FF	95-98.9
iA55_19	#096168FF	95-98.9
iB37_maxbin.001	#096168FF	95-98.9
iB38_20_sub	#096168FF	95-98.9
iA55_9	#096168FF	95-98.9
iA55_maxbin.001_sub	#096168FF	95-98.9
iA56_16	#096168FF	95-98.9
iA56_17	#096168FF	95-98.9
iB39_43_sub	#096168FF	95-98.9
iA56_maxbin.001	#096168FF	95-98.9
iB39_8	#096168FF	95-98.9
iA57_27	#096168FF	95-98.9
iA57_bin.5	#096168FF	95-98.9
iA58_10	#096168FF	95-98.9
iB39_maxbin.008	#096168FF	95-98.9
iA58_bin.5	#096168FF	95-98.9
iA58_maxbin.002	#096168FF	95-98.9
iA6_42_sub	#096168FF	95-98.9
iA6_bin.10	#096168FF	95-98.9
iB79_10	#096168FF	95-98.9
iA6_maxbin.003	#096168FF	95-98.9
iB4_bin.20	#096168FF	95-98.9
iA60_bin.5	#096168FF	95-98.9
iA61_2	#096168FF	95-98.9
iA61_33	#096168FF	95-98.9
iA61_7	#096168FF	95-98.9
iA61_bin.7	#096168FF	95-98.9
iA62_20	#096168FF	95-98.9
iA62_35	#096168FF	95-98.9
iA62_bin.10	#096168FF	95-98.9
iA63_39	#096168FF	95-98.9
iA64_bin.1	#096168FF	95-98.9
iB40_43	#096168FF	95-98.9
iB40_60	#096168FF	95-98.9
iB40_bin.1_sub	#096168FF	95-98.9
iB79_bin.25	#096168FF	95-98.9
iA66_bin.3	#096168FF	95-98.9
iB40_maxbin.009	#096168FF	95-98.9
iA67_29	#096168FF	95-98.9
iA67_bin.7	#096168FF	95-98.9
iA67_bin.9	#096168FF	95-98.9
iA68_14	#096168FF	95-98.9
iA68_16	#096168FF	95-98.9
iB41_bin.16	#096168FF	95-98.9
iA68_bin.4_sub	#096168FF	95-98.9
iA68_bin.9_sub	#096168FF	95-98.9
iA69_22	#096168FF	95-98.9
iB42_41_sub	#096168FF	95-98.9
iA70_14_sub	#096168FF	95-98.9
iA70_15	#096168FF	95-98.9
iA70_7	#096168FF	95-98.9
iA70_bin.3	#096168FF	95-98.9
iA70_bin.8	#096168FF	95-98.9
iA71_1	#096168FF	95-98.9
iA71_37_sub	#096168FF	95-98.9
iA71_bin.14_sub	#096168FF	95-98.9
iA72_3	#096168FF	95-98.9
iA72_bin.4	#096168FF	95-98.9
iA72_maxbin.001_sub	#096168FF	95-98.9
iA73_30	#096168FF	95-98.9
iA73_bin.7	#096168FF	95-98.9
iA73_maxbin.006_sub	#096168FF	95-98.9
iA75_11	#096168FF	95-98.9
iA75_7	#096168FF	95-98.9
iA75_9_sub	#096168FF	95-98.9
iA77_16	#096168FF	95-98.9
iB43_maxbin.001	#096168FF	95-98.9
iA77_bin.10	#096168FF	95-98.9
iA77_bin.5	#096168FF	95-98.9
iA77_bin.7	#096168FF	95-98.9
iA77_bin.9	#096168FF	95-98.9
iA78_18	#096168FF	95-98.9
iA78_19	#096168FF	95-98.9
iA78_bin.1	#096168FF	95-98.9
iB44_bin.11	#096168FF	95-98.9
iA79_15	#096168FF	95-98.9
iA79_41	#096168FF	95-98.9
iA79_43	#096168FF	95-98.9
iA79_46	#096168FF	95-98.9
iA79_6_sub	#096168FF	95-98.9
iA79_8	#096168FF	95-98.9
iA79_bin.7	#096168FF	95-98.9
iC11_19	#096168FF	95-98.9
iA9_27_sub	#096168FF	95-98.9
iB45_62	#096168FF	95-98.9
iA9_maxbin.003	#096168FF	95-98.9
iB1_20	#096168FF	95-98.9
iB1_27	#096168FF	95-98.9
iB1_36	#096168FF	95-98.9
iB1_57	#096168FF	95-98.9
iB1_75	#096168FF	95-98.9
iB1_88_sub	#096168FF	95-98.9
iB1_bin.17	#096168FF	95-98.9
iB1_bin.29_sub	#096168FF	95-98.9
iB1_bin.3	#096168FF	95-98.9
iB1_bin.46	#096168FF	95-98.9
iB45_maxbin.030	#096168FF	95-98.9
iB10_35	#096168FF	95-98.9
iB10_39	#096168FF	95-98.9
iB46_52	#096168FF	95-98.9
iB46_53_sub	#096168FF	95-98.9
iB46_55	#096168FF	95-98.9
iB46_64	#096168FF	95-98.9
iB11_60	#096168FF	95-98.9
iB11_64	#096168FF	95-98.9
iB11_9_sub	#096168FF	95-98.9
iB11_bin.1	#096168FF	95-98.9
iB11_bin.32	#096168FF	95-98.9
iB46_bin.17	#096168FF	95-98.9
iB46_bin.21	#096168FF	95-98.9
iC12_bin.43	#096168FF	95-98.9
iB12_20	#096168FF	95-98.9
iB12_34	#096168FF	95-98.9
iB12_45	#096168FF	95-98.9
iB12_6	#096168FF	95-98.9
iB47_103_sub	#096168FF	95-98.9
iB13_13	#096168FF	95-98.9
iB47_37	#096168FF	95-98.9
iB13_29_sub	#096168FF	95-98.9
iB13_49	#096168FF	95-98.9
iB47_71	#096168FF	95-98.9
iB13_64_sub	#096168FF	95-98.9
iB13_72	#096168FF	95-98.9
iB47_99	#096168FF	95-98.9
iB13_bin.2	#096168FF	95-98.9
iB13_bin.25_sub	#096168FF	95-98.9
iB47_bin.25_sub	#096168FF	95-98.9
iB13_bin.6	#096168FF	95-98.9
iB13_maxbin.002_sub	#096168FF	95-98.9
iB13_maxbin.003	#096168FF	95-98.9
iB47_bin.43	#096168FF	95-98.9
iB47_maxbin.004	#096168FF	95-98.9
iB14_33	#096168FF	95-98.9
iB14_37	#096168FF	95-98.9
iB14_4	#096168FF	95-98.9
iB14_5_sub	#096168FF	95-98.9
iB14_50	#096168FF	95-98.9
iB14_98	#096168FF	95-98.9
iB14_bin.10	#096168FF	95-98.9
iB14_bin.13	#096168FF	95-98.9
