Title	First author	Year	DOI	Country of enrollment	Sequencing methodology	Study category	Study population	Cohort Size (African individuals)
Longitudinal Analysis of Infant Stool Bacteria Communities Before and After Acute Febrile Malaria and Artemether-Lumefantrine Treatment	Mandal	2018	10.1093/infdis/jiy740	Kenya	16S	Infectious disease	Infants	10
Effect of Commonly Used Pediatric Antibiotics on Gut Microbial Diversity in Preschool Children in Burkina Faso: A Randomized Clinical Trial	Oldenburg	2018	10.1093/ofid/ofy289	Burkina Faso	16S	Antibiotics	Children,infants	248
HIV-exposure, early life feeding practices and delivery mode impacts on faecal bacterial profiles in a South African birth cohort	Claasen-Weitz	2018	10.1038/s41598-018-22244-6	South Africa	16S	Nutrition/infectious disease	Adults,infants	197
Treponema species enrich the gut microbiota of traditional rural populations but are absent from urban individuals	Angelakis	2019	10.1016/j.nmni.2018.10.009	Nigeria, Senegal	16S	Comparative	Adults	174
Population structure of human gut bacteria in a diverse cohort from rural Tanzania and Botswana	Hansen	2019	10.1186/s13059-018-1616-9	Tanzania, Botswana	16S	Comparative	Adults	114
Urogenital schistosomiasis is associated with signatures of microbiome dysbiosis in Nigerian adolescents	Ajibola	2019	10.1038/s41598-018-36709-1	Nigeria	16S	Infectious disease	Adults	49
Extensive Unexplored Human Microbiome Diversity Revealed by Over 150,000 Genomes from Metagenomes Spanning Age, Geography, and Lifestyle	Pasolli	2019	10.1016/j.cell.2019.01.001	Ethiopia, Madagascar	Metagenomics	Comparative	Adults	117
Plasticity in the Human Gut Microbiome Defies Evolutionary Constraints	Gomez	2019	10.1128/mSphere.00271-19	Central African Republic	16S	Comparative	Adults	57
Gut Microbiota Alteration is Characterized by a Proteobacteria and Fusobacteria Bloom in Kwashiorkor and a Bacteroidetes Paucity in Marasmus	Pham	2019	10.1038/s41598-019-45611-3	Niger, Senegal	16S	Nutrition	Children	22
Household composition and the infant fecal microbiome: The INSPIRE study	Lane	2019	10.1002/ajpa.23843	Ethiopia, The Gambia, Ghana, Kenya, Peru, Spain	16S	Maternal/Infant Health	Infants	217
Different Gut Microbial Profiles in Sub-Saharan African and South Asian Women of Childbearing Age Are Primarily Associated With Dietary Intakes	Tang	2019	10.3389/fmicb.2019.01848	Democratic Republic of the Congo	16S	Nutrition	Adults	117
Urogenital schistosomiasis is associated with signatures of microbiome dysbiosis in Nigerian adolescents	Ajibola	2019	10.1038/s41598-018-36709-1	Nigeria	16S	Infectious disease/antibiotics	Children	49
Use of shotgun metagenomics for the identification of protozoa in the gut microbiota of healthy individuals from worldwide populations with various industrialization levels	Lokmer	2019	10.1371/journal.pone.0211139	Cameroon	Metagenomics	Infectious disease	Adults	57
The Prevotella copri complex comprises four distinct clades underrepresented in Westernized populations	Tett	2019	10.1016/j.chom.2019.08.018	Ethiopia, Ghana, Tanzania	Metagenomics	Comparative	Adults, children, infants	162
Evolution of the gut microbiome following acute HIV-1 infection	Rocafort	2019	10.1186/s40168-019-0687-5	Mozambique	16S,metagenomics	Infectious disease	Adults	202
Gut virome analysis of Cameroonians reveals high diversity of enteric viruses, including potential interspecies transmitted viruses	Yinda	2019	10.1128/mSphere.00585-18	Cameroon	Viral metagenomics	Infectious disease	Adults, children, infants	221
Gut microbiome alteration in MORDOR I: a community-randomized trial of mass azithromycin distribution	Doan	2020	10.1038/s41591-019-0533-0	Niger, Malawi, Tanzania	Metagenomics (RNA)	Infectious disease/antibiotics	Children	300
The microbiome and resistome of chimpanzees, gorillas, and humans across host lifestyle and geography	Campbell	2020	10.1038/s41396-020-0634-2	Republic of the Congo	16S,metagenomics	Comparative	Adults	81
The effect of legume supplementation on the gut microbiota in rural Malawian infants aged 6 to 12 months	Ordiz	2020	10.1093/ajcn/nqaa011	Malawi	16S	Nutrition	Infants	236
