#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	C9_concat_metaphlan_bugs_list	C8_concat_metaphlan_bugs_list	C7_concat_metaphlan_bugs_list	C6_concat_metaphlan_bugs_list	C5_concat_metaphlan_bugs_list	C4_concat_metaphlan_bugs_list	C3_concat_metaphlan_bugs_list	C33_concat_metaphlan_bugs_list	C32_concat_metaphlan_bugs_list	C31_concat_metaphlan_bugs_list	C30_concat_metaphlan_bugs_list	C2_concat_metaphlan_bugs_list	C29_concat_metaphlan_bugs_list	C28_concat_metaphlan_bugs_list	C27_concat_metaphlan_bugs_list	C26_concat_metaphlan_bugs_list	C25_concat_metaphlan_bugs_list	C24_concat_metaphlan_bugs_list	C23_concat_metaphlan_bugs_list	C22_concat_metaphlan_bugs_list	C21_concat_metaphlan_bugs_list	C20_concat_metaphlan_bugs_list	C1_concat_metaphlan_bugs_list	C19_concat_metaphlan_bugs_list	C18_concat_metaphlan_bugs_list	C17_concat_metaphlan_bugs_list	C16_concat_metaphlan_bugs_list	C15_concat_metaphlan_bugs_list	C14_concat_metaphlan_bugs_list	C13_concat_metaphlan_bugs_list	C12_concat_metaphlan_bugs_list	C11_concat_metaphlan_bugs_list	C10_concat_metaphlan_bugs_list	B9_concat_metaphlan_bugs_list	B8_concat_metaphlan_bugs_list	B7_concat_metaphlan_bugs_list	B79_concat_metaphlan_bugs_list	B78_concat_metaphlan_bugs_list	B77_concat_metaphlan_bugs_list	B76_concat_metaphlan_bugs_list	B75_concat_metaphlan_bugs_list	B74_concat_metaphlan_bugs_list	B73_concat_metaphlan_bugs_list	B72_concat_metaphlan_bugs_list	B71_concat_metaphlan_bugs_list	B70_concat_metaphlan_bugs_list	B6_concat_metaphlan_bugs_list	B69_concat_metaphlan_bugs_list	B68_concat_metaphlan_bugs_list	B67_concat_metaphlan_bugs_list	B66_concat_metaphlan_bugs_list	B65_concat_metaphlan_bugs_list	B64_concat_metaphlan_bugs_list	B63_concat_metaphlan_bugs_list	B62_concat_metaphlan_bugs_list	B61_concat_metaphlan_bugs_list	B60_concat_metaphlan_bugs_list	B5_concat_metaphlan_bugs_list	B59_concat_metaphlan_bugs_list	B58_concat_metaphlan_bugs_list	B57_concat_metaphlan_bugs_list	B56_concat_metaphlan_bugs_list	B55_concat_metaphlan_bugs_list	B54_concat_metaphlan_bugs_list	B53_concat_metaphlan_bugs_list	B52_concat_metaphlan_bugs_list	B51_concat_metaphlan_bugs_list	B50_concat_metaphlan_bugs_list	B4_concat_metaphlan_bugs_list	B49_concat_metaphlan_bugs_list	B48_concat_metaphlan_bugs_list	B47_concat_metaphlan_bugs_list	B46_concat_metaphlan_bugs_list	B45_concat_metaphlan_bugs_list	B44_concat_metaphlan_bugs_list	B43_concat_metaphlan_bugs_list	B42_concat_metaphlan_bugs_list	B41_concat_metaphlan_bugs_list	B40_concat_metaphlan_bugs_list	B3_concat_metaphlan_bugs_list	B39_concat_metaphlan_bugs_list	B38_concat_metaphlan_bugs_list	B37_concat_metaphlan_bugs_list	B36_concat_metaphlan_bugs_list	B35_concat_metaphlan_bugs_list	B34_concat_metaphlan_bugs_list	B33_concat_metaphlan_bugs_list	B32_concat_metaphlan_bugs_list	B31_concat_metaphlan_bugs_list	B30_concat_metaphlan_bugs_list	B2_concat_metaphlan_bugs_list	B29_concat_metaphlan_bugs_list	B28_concat_metaphlan_bugs_list	B27_concat_metaphlan_bugs_list	B26_concat_metaphlan_bugs_list	B25_concat_metaphlan_bugs_list	B24_concat_metaphlan_bugs_list	B23_concat_metaphlan_bugs_list	B22_concat_metaphlan_bugs_list	B21_concat_metaphlan_bugs_list	B20_concat_metaphlan_bugs_list	B1_concat_metaphlan_bugs_list	B19_concat_metaphlan_bugs_list	B18_concat_metaphlan_bugs_list	B17_concat_metaphlan_bugs_list	B16_concat_metaphlan_bugs_list	B15_concat_metaphlan_bugs_list	B14_concat_metaphlan_bugs_list	B13_concat_metaphlan_bugs_list	B12_concat_metaphlan_bugs_list	B11_concat_metaphlan_bugs_list	B10_concat_metaphlan_bugs_list	A9_concat_metaphlan_bugs_list	A8_concat_metaphlan_bugs_list	A7_concat_metaphlan_bugs_list	A79_concat_metaphlan_bugs_list	A78_concat_metaphlan_bugs_list	A77_concat_metaphlan_bugs_list	A76_concat_metaphlan_bugs_list	A75_concat_metaphlan_bugs_list	A74_concat_metaphlan_bugs_list	A73_concat_metaphlan_bugs_list	A72_concat_metaphlan_bugs_list	A71_concat_metaphlan_bugs_list	A70_concat_metaphlan_bugs_list	A6_concat_metaphlan_bugs_list	A69_concat_metaphlan_bugs_list	A68_concat_metaphlan_bugs_list	A67_concat_metaphlan_bugs_list	A66_concat_metaphlan_bugs_list	A65_concat_metaphlan_bugs_list	A64_concat_metaphlan_bugs_list	A63_concat_metaphlan_bugs_list	A62_concat_metaphlan_bugs_list	A61_concat_metaphlan_bugs_list	A60_concat_metaphlan_bugs_list	A5_concat_metaphlan_bugs_list	A59_concat_metaphlan_bugs_list	A58_concat_metaphlan_bugs_list	A57_concat_metaphlan_bugs_list	A56_concat_metaphlan_bugs_list	A55_concat_metaphlan_bugs_list	A54_concat_metaphlan_bugs_list	A53_concat_metaphlan_bugs_list	A52_concat_metaphlan_bugs_list	A51_concat_metaphlan_bugs_list	A50_concat_metaphlan_bugs_list	A4_concat_metaphlan_bugs_list	A49_concat_metaphlan_bugs_list	A48_concat_metaphlan_bugs_list	A47_concat_metaphlan_bugs_list	A46_concat_metaphlan_bugs_list	A45_concat_metaphlan_bugs_list	A44_concat_metaphlan_bugs_list	A43_concat_metaphlan_bugs_list	A42_concat_metaphlan_bugs_list	A41_concat_metaphlan_bugs_list	A40_concat_metaphlan_bugs_list	A3_concat_metaphlan_bugs_list	A39_concat_metaphlan_bugs_list	A38_concat_metaphlan_bugs_list	A37_concat_metaphlan_bugs_list	A36_concat_metaphlan_bugs_list	A35_concat_metaphlan_bugs_list	A34_concat_metaphlan_bugs_list	A33_concat_metaphlan_bugs_list	A32_concat_metaphlan_bugs_list	A31_concat_metaphlan_bugs_list	A30_concat_metaphlan_bugs_list	A2_concat_metaphlan_bugs_list	A29_concat_metaphlan_bugs_list	A28_concat_metaphlan_bugs_list	A27_concat_metaphlan_bugs_list	A26_concat_metaphlan_bugs_list	A25_concat_metaphlan_bugs_list	A24_concat_metaphlan_bugs_list	A23_concat_metaphlan_bugs_list	A22_concat_metaphlan_bugs_list	A21_concat_metaphlan_bugs_list	A20_concat_metaphlan_bugs_list	A1_concat_metaphlan_bugs_list	A19_concat_metaphlan_bugs_list	A18_concat_metaphlan_bugs_list	A17_concat_metaphlan_bugs_list	A16_concat_metaphlan_bugs_list	A15_concat_metaphlan_bugs_list	A14_concat_metaphlan_bugs_list	A13_concat_metaphlan_bugs_list	A12_concat_metaphlan_bugs_list	A11_concat_metaphlan_bugs_list	A10_concat_metaphlan_bugs_list
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis	2|976|200643|171549|171552|838|386414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17986	0	0	0.09047000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	7.845910000000001	10.13306	0.07472000000000001	0	0	0.00561	1.11596	5.95552	2.24911	0.50395	3.05326	14.95491	0.024380000000000002	0.03695	0	0.32173	18.96592	0.60843	0.10507999999999999	0.34818000000000005	0.12503	0.42596000000000006	10.45399	1.49684	11.45508	0.32356	1.26836	0.07646	0	0	0.03743	0.23914000000000002	0.01542	6.5202	0.26716	0	0.12129000000000001	0.3041	0.3081	0	0	3.2810599999999996	0.06887	0.048260000000000004	0.02765	0	5.59169	0.03909	0	0	0	0.16742	0.54133	0.12257	0.33316	1.05855	1.40795	0	0.7973100000000001	1.10519	0.72321	0.5917600000000001	0.03801	1.7513299999999998	5.7517	0.47281999999999996	14.583479999999998	0.48071	0.28278000000000003	4.23503	0.88229	0	0.01701	0.35985	0	10.49182	0.44188999999999995	0.28484	0	5.37336	1.27991	0.11556	10.1742	10.72198	7.7468699999999995	3.3012699999999997	1.8913799999999998	13.25206	1.7774299999999998	14.72657	5.33045	0	0.9401299999999999	0.16953	0	0	0.87124	0.62439	0.59345	0	4.58968	0.02962	0.09922	2.4593700000000003	0.019780000000000002	0	7.08064	0	0.6467	0	0.01431	5.68815	26.766090000000002	11.16121	11.15603	0	0	2.83915	0	7.833810000000001	0	5.807169999999999	0.026789999999999998	1.0592700000000002	0.13623	7.9865699999999995	0.45866999999999997	0.03991	7.110189999999999	8.22325	7.26461	0.33391	0.01486	0.04707	0	0.035160000000000004	11.79472	1.1979899999999999	1.5421799999999999	12.41607	0	0.01151	0	4.66946	5.74506	1.04593	0.39557	0.02181	22.95569	0.7034	0.022000000000000002	11.32585	1.14404	0.83539	23.64247	0	0.03292	62.4229	18.09232	15.928289999999999	3.03494	10.28248	26.09648	0.17357	9.40816	1.32534	0	7.8639600000000005	0	1.5053299999999998	1.06833	9.37331	6.14701	0.11285	2.2614900000000002	3.4594099999999997	0.82719	40.2115	2.55997	0.9522299999999999	0.61327	0.04701	0	0	0.66637	11.96632	9.35789	0	0	5.79785	0.5351199999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2|976|200643|171549|171550|239759	7.845910000000001	10.13306	0.07472000000000001	0	0	0.00561	1.11596	5.95552	2.24911	0.50395	3.05326	14.95491	0.024380000000000002	0.03695	0	0.32173	18.96592	0.60843	0.10507999999999999	0.34818000000000005	0.12503	0.42596000000000006	10.45399	1.49684	11.45508	0.32356	1.26836	0.07646	0	0	0.03743	0.23914000000000002	0.01542	6.5202	0.26716	0	0.12129000000000001	0.3041	0.3081	0	0	3.2810599999999996	0.06887	0.048260000000000004	0.02765	0	5.59169	0.03909	0	0	0	0.16742	0.54133	0.12257	0.33316	1.05855	1.40795	0	0.7973100000000001	1.10519	0.72321	0.5917600000000001	0.03801	1.7513299999999998	5.7517	0.47281999999999996	14.583479999999998	0.48071	0.28278000000000003	4.23503	0.88229	0	0.01701	0.35985	0	10.49182	0.44188999999999995	0.28484	0	5.37336	1.27991	0.11556	10.1742	10.72198	7.7468699999999995	3.3012699999999997	1.8913799999999998	13.25206	1.7774299999999998	14.72657	5.33045	0	0.9401299999999999	0.16953	0	0	0.87124	0.62439	0.59345	0	4.58968	0.02962	0.09922	2.4593700000000003	0.019780000000000002	0	7.08064	0	0.6467	0	0.01431	5.68815	26.766090000000002	11.16121	11.15603	0	0	2.83915	0	7.833810000000001	0	5.807169999999999	0.026789999999999998	1.0592700000000002	0.13623	7.9865699999999995	0.45866999999999997	0.03991	7.110189999999999	8.22325	7.26461	0.33391	0.01486	0.04707	0	0.035160000000000004	11.79472	1.1979899999999999	1.5421799999999999	12.41607	0	0.01151	0	4.66946	5.74506	1.04593	0.39557	0.02181	22.95569	0.7034	0.022000000000000002	11.32585	1.14404	0.83539	23.64247	0	0.03292	62.4229	18.09232	15.928289999999999	3.03494	10.28248	26.09648	0.17357	9.40816	1.32534	0	7.8639600000000005	0	1.5053299999999998	1.06833	9.37331	6.14701	0.11285	2.2614900000000002	3.4594099999999997	0.82719	40.2115	2.55997	0.9522299999999999	0.61327	0.04701	0	0	0.66637	11.96632	9.35789	0	0	5.79785	0.5351199999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	2|976|200643|171549|171550|239759|214856	0.46534	0	0	0	0	0	0.06731000000000001	0.19721	0	0	0	0.10432000000000001	0	0	0	0	1.39517	0	0	0.00488	0	0.13357	1.39783	0	1.35019	0	0.13194	0	0	0	0	0	0	0.00473	0	0	0	0.01127	0.04405	0	0	0.54447	0	0	0.00253	0	0	0	0	0	0	0	0	0.07202	0	0.07178	0	0	0.02576	0.03657	0.046169999999999996	0.07748	0	0	0	0	0.01436	0	0.061279999999999994	0.76437	0.2423	0	0	0	0	0.06722	0.02887	0	0	0.19955	1.27991	0	0.07961	0.01593	0	1.07219	0.00234	0	0.7550899999999999	7.6592899999999995	0.37917	0	0	0	0	0	0.03229	0.28426999999999997	0.0142	0	0.56652	0	0	0	0	0	1.32466	0	0.09141	0	0	0.12523	0.5808399999999999	0	0.0139	0	0	1.18581	0	0	0	0.026180000000000002	0	0	0	3.11083	0	0	0	0.48413	3.17963	0	0	0	0	0	0	0.40968999999999994	0	0.10645999999999999	0	0	0	0	3.9422800000000002	0.10887000000000001	0	0.02181	1.57682	0	0	1.81457	0.51856	0.05947	2.99235	0	0	51.706340000000004	0.06792000000000001	0.049260000000000005	0.68105	0.5531	24.25207	0	3.6014	0	0	0	0	0.18095	0.00796	1.6408200000000002	0.30072	0	0.2632	2.11617	0.09627999999999999	12.84427	0.06443	0	0	0.04073	0	0	0.07228	6.662139999999999	0.05237000000000001	0	0	5.79785	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	2|976|200643|171549|171550|239759|626932	0.36201	0	0	0	0	0	0.21499000000000001	0	0	0	0	2.37838	0	0	0	0	0.42935	0	0	0	0	0	0.11674000000000001	0	0.21506999999999998	0.01913	0.0018399999999999998	0	0	0	0.00938	0.06586	0	0	0	0	0	0	0	0	0	0.07112	0	0	0.017759999999999998	0	0	0	0	0	0	0.1534	0	0	0	0	0	0	0	0.10959	0.05739	0	0.03801	0.23581999999999997	0	0.08785	0	0	0	0	0.19167	0	0	0	0	0	0	0	0	0	0	0	0.00758	0	0	0	0	0.04847	0.21215	0.012	0.65187	0	0	0	0	0	0	0	0.10601	0	0.1468	0	0	0.37478	0.00528	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0.03998	0	0.27491	0.0595	0.0036899999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1899	0	0	0	0	1.18664	0	0	0	1.05162	0	0	0	0	0	0.9642200000000001	0	0	0.09804	0	0	0	0.04845	0.11621	0	2.2158900000000004	0.016319999999999998	0	0	0	0	0.07533	0.07367	0	0	0	0	0.72004	0.04969	0	0	0.50215	0	0	0	0	0	0.2504	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	2|976|200643|171549|171550|239759|1501391	5.99099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12129000000000001	0	0	0	0	0	0	0	0	0	0.1377	0	0	0	0	0	0.49356000000000005	0	0	0	1.01952	0	0.32219000000000003	0	0	0	0	0	0	0	0	0	0	0.85264	0	0	0	0	0	0.8627299999999999	0	0	0	3.3359099999999997	0	0.05946	0.3351	0	0.0125	0	0	0	0	0	0.03333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22445	8.54594	0.27055999999999997	0	0	1.27178	0	0	0	0	0	0.15736	0	4.40764	0	0	0	0	0	0	0	0	0	0	0	0.48177	0.45043	0.6713899999999999	0	0	0	0	0	0	0.23726999999999998	0	2.28117	0	0	0.53835	0	0	0.58722	0	0	1.91962	0.51613	0	1.65408	0	1.47655	0	0	1.30902	0	0	0	1.32438	0.12300000000000001	2.28524	0.79742	0	0	0.11707999999999999	0	0	0.7738	0	0	0	0	0	0	4.172680000000001	0.2211	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	2|976|200643|171549|171550|239759|328813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011590000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022000000000000002	0	0	0	2.13496	0	0	0	0.02422	0	0	1.9552599999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2|976|200643|171549|171550|239759|28117	0	8.827169999999999	0.02694	0	0	0	0.48062	5.40415	0	0.50395	2.1570099999999996	12.1555	0.024380000000000002	0.03695	0	0.09788	16.62196	0.59532	0	0.15672	0.07226	0.07436	7.97594	0.09622	7.79263	0.1536	0.69152	0	0	0	0	0	0.01175	6.370430000000001	0.01838	0	0	0.27013000000000004	0	0	0	0.6623399999999999	0.01489	0.02075	0	0	5.3230900000000005	0	0	0	0	0	0	0	0.03425	0.8766799999999999	0.36486999999999997	0	0.44456999999999997	0.7070000000000001	0.27621999999999997	0.0032	0	1.0719100000000001	4.71472	0.19393	13.757179999999998	0	0.13477999999999998	0.63293	0	0	0	0	0	9.464780000000001	0.27007	0	0	1.78652	0	0.0018	8.85973	10.27098	7.6322600000000005	1.9223700000000001	1.80102	11.8111	0.69772	6.99907	4.17012	0	0	0	0	0	0.23385	0	0.19229000000000002	0	3.80705	0	0	1.9562599999999999	0.00399	0	5.3655800000000005	0	0.018009999999999998	0	0	5.337269999999999	19.20815	2.5752	10.76328	0	0	0.38156	0	7.086810000000001	0	5.2605900000000005	0	0.52922	0	0	0	0	5.3928	7.03008	3.9630300000000003	0	0	0	0	0	11.59072	0	0.75268	11.30076	0	0	0	4.66946	0.60841	0.12575	0	0	17.9643	0.69799	0	8.97292	0	0.74564	15.532420000000002	0	0.03292	8.1523	17.34467	13.44464	0	7.6649	0	0	2.77465	0	0	5.97242	0	0	0.32652	5.04865	2.66479	0	0.47113999999999995	0.6393	0	25.747970000000002	1.58822	0.91155	0	0	0	0	0.59409	0	5.1887300000000005	0	0	0	0.028589999999999997
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	2|976|200643|171549|171550|239759|328814	1.02756	1.30589	0.04777	0	0	0.00561	0.35304	0.35416	2.24911	0	0.8962600000000001	0.31671	0	0	0	0.22385	0.51944	0.01311	0.10507999999999999	0.18658	0.052770000000000004	0.21803000000000003	0.9634799999999999	1.40062	2.09718	0.15083	0.44306	0.07646	0	0	0.02806	0.17327	0.0036799999999999997	0.14504	0.24878000000000003	0	0	0	0.26405	0	0	2.00313	0.053970000000000004	0.027510000000000003	0.007359999999999999	0	0.1309	0.03909	0	0	0	0.01401	0.04777	0.05056	0.29891	0.11009000000000001	0.02356	0	0.00479	0.25204	0.34342	0.5110899999999999	0	0.4436	1.03698	0.19105	0.81194	0.48071	0.08673	1.9850900000000002	0.44832	0	0.01701	0.35985	0	0.0971	0.14295	0.28484	0	0.051370000000000006	0	0.0543	0.89218	0.43506999999999996	0.0955	0.30671	0.08803	1.39249	0.11245999999999999	0.05621	0.09596	0	0.9401299999999999	0.16953	0	0	0.60509	0.34013000000000004	0.28096	0	0.0693	0.02962	0.09922	0.12832000000000002	0.01051	0	0.39041	0	0.53728	0	0.01431	0.22396	0.72313	0.04007	0.1083	0	0	0	0	0.7469899999999999	0	0.46883	0.026789999999999998	0.09777999999999999	0.07672999999999999	0.35225	0.45866999999999997	0.03991	1.7173900000000002	0.70903	0.12195	0.33391	0.01486	0.04707	0	0.035160000000000004	0.20399	0.30654000000000003	0.33908	0.14756	0	0.01151	0	0	0.00774	0.8113100000000001	0.1583	0	0.08177000000000001	0.00541	0	0	0.62548	0.03028	1.4313	0	0	0.43926000000000004	0.13935999999999998	2.40275	0.69981	0.060770000000000005	0.25165	0.17357	0.81622	0	0	1.8915400000000002	0	0	0.53552	0.31267	1.36561	0.11285	1.52716	0.58686	0.01087	1.5695700000000001	0	0.04068	0.11112000000000001	0.00628	0	0	0	1.1315	3.6154300000000004	0	0	0	0.50653
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_An31A	2|976|200643|171549|171550|239759|1965631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02985	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_An66	2|976|200643|171549|171550|239759|1965650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026039999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_timonensis	2|976|200643|171549|171550|239759|1465754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066099999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034700000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0.11215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10734	0	0.031639999999999995	0	0	0	0	0	0	0	0	0	0	0	0.01225	0	0	0	0	0	0	0.13352999999999998	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	5.78967	1.71838	0.23664000000000002	0	0	0.07683999999999999	1.25393	0.26269000000000003	1.94124	0.5200899999999999	1.14038	4.053730000000001	1.28834	0.47473000000000004	0	0	3.9014	0.48925	0.88192	0.12052	2.15657	0.2896	3.44656	0.9219700000000001	2.63216	1.04501	0.47503	1.20481	9.850389999999999	2.21393	0.1623	0.8136899999999999	0.15295999999999998	3.9867199999999996	0.24140999999999999	0.02278	3.57038	0.27605	0.5624399999999999	0	0.30085	4.16812	1.2326	0	1.18438	0	2.3616599999999996	0.07393	0	0	0	0.27002	0.14731	1.51795	2.18863	4.74453	6.44806	0.19084	2.49269	1.27942	1.45862	1.4554799999999999	0.32699	3.11272	2.0224	2.31874	5.700080000000001	9.21284	0.17734	3.8313900000000003	2.12812	0.03578	1.4071799999999999	0.05295	0.66363	0.84856	2.8010099999999998	0.18993	0	4.82025	2.51324	1.45059	1.9318099999999998	1.67608	1.28196	1.3462100000000001	0.7048300000000001	0.9614799999999999	1.47668	0.94771	1.5929200000000001	0	0.96673	0	0.26209	0.86819	1.7069999999999999	1.8071	6.354030000000001	26.381659999999997	0.36651999999999996	0.73436	1.04637	0.84962	0.69524	0.05262000000000001	1.63291	0.75315	0.79279	0.04601	0.28138	1.42706	6.31914	4.14151	1.9539400000000002	0	1.11376	0.59096	0.11535999999999999	4.54275	0	0.5414100000000001	0.32805	0.21750999999999998	0.22807	2.3763900000000002	0.13484000000000002	0.8734700000000001	3.5170800000000004	1.87903	2.11	7.98168	0.23568000000000003	0.15487	0.058710000000000005	0.5175	2.4923599999999997	1.5003799999999998	1.59507	1.88258	0.26605999999999996	0.15392	0	1.20144	3.9710699999999997	3.42015	2.7115099999999996	0.3635	2.7758	1.61099	3.6625300000000003	1.08168	5.38086	0.22829000000000002	1.02451	0.67676	0.9134200000000001	5.203130000000001	7.58967	2.5653099999999998	1.52597	2.69349	5.98451	1.19889	2.50916	0.80156	0	1.3632600000000001	1.52405	0.6642100000000001	4.10761	5.2108099999999995	3.34996	2.77315	3.68266	2.8447299999999998	1.67708	2.15797	0.50597	0.6072	0.64305	0.67553	0	0.17827	0.97383	3.3305	7.19843	2.4115900000000003	0.026869999999999998	0	0.4979
