Sample	Bin	Site	NCBI species	GTDB taxonomy	Completeness	Contamination	Strain heterogeneity	Size (Mb)	N50 (Kb)	# genes	# tRNA	# 16S rRNA	# 23S rRNA	# 5S rRNA	dRep 95% sANI rep (cohort)	dRep 95% sANI rep (cohort plus UHGG species reps)	FastANI to closest UHGG genome	Novel compared to UHGG
soweto_5	bin.3	Soweto	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	91.94	0.7	0	1.5	43.935	1357	43	1	0	1	FALSE	FALSE	97.9905	FALSE
soweto_5	maxbin.008	Soweto	Elusimicrobia bacterium UBA5880	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp900541355	89.14	1.23	50	1.53	3.897	1482	38	0	0	0	FALSE	FALSE	98.0577	FALSE
soweto_6	43	Soweto	Bacteroidales bacterium H9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795	95.38	0	0	2.4	13.767	1943	31	0	0	0	FALSE	FALSE	98.5771	FALSE
soweto_8	bin.1	Soweto	Prevotella sp. Marseille-P4119	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900290275	93.34	0.29	33.33	2.68	15.507	2081	21	0	0	1	FALSE	FALSE	98.1717	FALSE
soweto_8	bin.5	Soweto	uncultured Lachnospiraceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900543445	96.11	0.18	50	2.45	14.296	2125	24	0	0	0	FALSE	FALSE	98.5427	FALSE
soweto_9	1	Soweto	Bacillales bacterium UBA7004	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	96	1.33	0	1.72	16.927	1580	35	0	0	0	TRUE	TRUE	NA	TRUE
soweto_9	39	Soweto	Firmicutes bacterium CAG:345	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__CAG-345;s__CAG-345 sp000433315	97.75	1.12	0	1.88	253.516	1734	48	0	0	0	TRUE	FALSE	99.5672	FALSE
soweto_9	maxbin.003_sub	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS775;s__UMGS775 sp900545325	94.35	1.64	0	2.72	137.6	2367	43	1	0	0	TRUE	FALSE	99.6175	FALSE
soweto_10	10	Soweto	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp900545265	75.17	6.73	7.69	1.64	2.325	1718	14	0	0	0	FALSE	FALSE	98.9491	FALSE
soweto_10	bin.10	Soweto	[Eubacterium] siraeum DSM 15702	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	82.14	0.27	66.67	1.91	6.5	1607	8	0	0	0	FALSE	FALSE	98.3692	FALSE
soweto_10	bin.12	Soweto	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-632;s__CAG-632 sp000431515	91.61	0.67	0	2.3	12.646	2015	25	0	0	0	TRUE	FALSE	99.2306	FALSE
soweto_10	bin.16	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__UBA1777 sp900549865	85.91	0	0	2.38	14.077	2158	28	0	0	2	FALSE	FALSE	97.9836	FALSE
soweto_10	bin.18	Soweto	Clostridium sp. CAG:413	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp000431775	95.98	0.34	0	2.08	24.94	1828	31	0	0	0	FALSE	FALSE	98.7571	FALSE
soweto_10	bin.19	Soweto	Clostridiales bacterium UBA5901	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900548625	97.21	1.34	0	2.09	26.029	1891	36	0	0	2	TRUE	TRUE	98.24	FALSE
soweto_10	bin.3	Soweto	uncultured Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	87.46	0.81	100	1.57	15.069	1493	26	0	0	0	FALSE	FALSE	98.5758	FALSE
soweto_10	bin.4	Soweto	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	95.08	2.3	33.33	3.61	80.956	2824	44	0	0	0	FALSE	FALSE	98.3835	FALSE
soweto_10	bin.6	Soweto	Christensenellaceae bacterium Phil1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	93.75	1.61	66.67	2.01	13.442	1911	33	0	0	0	FALSE	FALSE	97.8429	FALSE
soweto_10	maxbin.005_sub	Soweto	Oscillibacter sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900545495	93.75	2.68	50	2.41	40.206	2299	36	1	0	0	FALSE	FALSE	98.4069	FALSE
soweto_11	bin.1	Soweto	Prevotella copri DSM 18205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	98.55	2.03	12.5	3.62	95.26	2933	47	0	0	0	FALSE	FALSE	96.9268	FALSE
soweto_12	11	Soweto	Prevotella stercorea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea	89.66	1.02	25	2.31	6.617	1775	21	0	0	0	FALSE	FALSE	97.4683	FALSE
soweto_12	17	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	91.23	1.63	25	2.01	4.771	1819	28	0	0	0	FALSE	FALSE	98.5808	FALSE
soweto_12	bin.9	Soweto	Prevotella sp.	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215	93	2.8	63.16	2.86	19.836	2306	34	0	0	0	FALSE	FALSE	98.1129	FALSE
soweto_14	17	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	97.27	0	0	2.16	16.208	2003	43	0	0	2	FALSE	FALSE	99.3338	FALSE
soweto_14	maxbin.001	Soweto	Prevotella copri	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	94.17	2.87	30.77	3.54	11.319	2895	51	2	4	1	FALSE	FALSE	97.8817	FALSE
soweto_16	30	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	97.27	0	0	2.2	23.371	2067	40	0	0	2	FALSE	FALSE	98.9355	FALSE
soweto_16	6	Soweto	Unclassified	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QALW01;g__UMGS1338;s__UMGS1338 sp900550805	85.54	1.45	0	1.69	4.38	1485	26	0	0	0	FALSE	FALSE	98.0699	FALSE
soweto_16	bin.8_sub	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	91.5	1.01	0	1.98	12.019	1826	39	0	0	1	FALSE	FALSE	98.5078	FALSE
soweto_17	2	Soweto	Faecalibacterium sp. BIOML-A1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	95.92	3.08	66.67	3.55	12.79	3449	44	0	0	0	TRUE	FALSE	98.3673	FALSE
soweto_17	7	Soweto	Clostridium sp. CAG:138	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	87.29	1.79	25	1.78	7.65	1584	25	0	0	0	FALSE	FALSE	98.5005	FALSE
soweto_17	bin.2	Soweto	Prevotella sp.	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215	97.97	0.84	0	3.25	55.09	2694	50	0	0	0	TRUE	FALSE	98.0275	FALSE
soweto_17	bin.6	Soweto	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	89.61	1.05	0	1.5	23.913	1329	41	1	0	0	FALSE	FALSE	97.8687	FALSE
soweto_17	bin.7	Soweto	Alistipes sp. CAG:514	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000431015	94.6	0.63	0	2.73	51.854	2152	40	0	0	0	FALSE	FALSE	98.2069	FALSE
soweto_18	55	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	90.38	3.08	16.67	1.6	4.582	1397	12	0	0	0	FALSE	FALSE	98.6003	FALSE
soweto_18	57	Soweto	Unclassified	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp000436375	91.4	0	0	1.62	5.053	1636	23	0	0	0	TRUE	FALSE	98.9201	FALSE
soweto_18	bin.11	Soweto	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	90.14	0.47	0	2.76	10.242	2320	36	0	0	3	FALSE	FALSE	98.3032	FALSE
soweto_18	bin.4	Soweto	Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	96.58	0	0	2.41	12.726	2145	26	0	0	0	FALSE	FALSE	99.4179	FALSE
soweto_18	maxbin.002_sub	Soweto	Phocaeicola plebeius	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	91.57	3.51	33.33	3.67	12.209	3065	28	0	2	1	FALSE	FALSE	98.3832	FALSE
soweto_19	24	Soweto	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	86.69	7.63	100	2.17	4.084	1968	36	0	0	1	FALSE	FALSE	98.1675	FALSE
soweto_19	32	Soweto	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	87.57	0	0	1.44	7.738	1279	25	0	0	1	FALSE	FALSE	98.0736	FALSE
soweto_19	7	Soweto	Verrucomicrobia bacterium	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__QALA01;s__	91.55	0.9	100	2.28	4.453	1950	30	0	0	0	TRUE	TRUE	NA	TRUE
soweto_19	8	Soweto	Succinatimonas sp. UBA2849	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	99.38	0.29	0	2.29	33.245	1924	38	0	0	0	FALSE	FALSE	98.9122	FALSE
soweto_20	21	Soweto	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	83.98	1.69	33.33	1.39	4.562	1216	26	0	0	0	FALSE	FALSE	97.994	FALSE
soweto_20	35	Soweto	Alistipes sp. CAG:514	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000431015	94.43	5.4	59.09	3.1	20.712	2403	39	0	0	0	FALSE	FALSE	98.2347	FALSE
soweto_20	38	Soweto	Prevotellaceae bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia timonensis	77.76	1.21	55.56	2.18	3.164	1725	13	0	0	0	FALSE	FALSE	97.3388	FALSE
soweto_20	45	Soweto	Unclassified	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp900546285	78.2	2.22	0	1.27	2.152	1109	8	0	0	0	FALSE	FALSE	96.6308	FALSE
soweto_20	bin.10	Soweto	Unclassified	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9732;s__UBA9732 sp001940825	80.16	1.24	0	1.63	6.486	1517	33	0	0	0	FALSE	FALSE	97.4327	FALSE
soweto_21	bin.4	Soweto	Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	93.15	0	0	2.43	12.573	2176	23	0	0	0	FALSE	FALSE	99.2619	FALSE
soweto_22	28_sub	Soweto	Oscillibacter sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	81.97	9.9	12.5	2.3	3.681	2270	33	0	0	1	FALSE	FALSE	98.2717	FALSE
soweto_22	bin.2	Soweto	Unclassified	NA	94.6	2.25	28.57	3.49	36.455	2679	44	0	0	0	FALSE	FALSE	98.3911	FALSE
soweto_22	bin.5	Soweto	Christensenellaceae bacterium Phil1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	97.58	0	0	2.15	18.683	2040	40	0	0	0	FALSE	FALSE	99.3649	FALSE
soweto_22	bin.8	Soweto	Oscillospiraceae bacterium UBA4632	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	87.21	0.67	100	1.45	8.034	1347	13	0	0	0	TRUE	FALSE	99.0224	FALSE
soweto_23	14	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	83.28	0.78	66.67	1.46	3.562	1276	14	0	0	0	FALSE	FALSE	98.8127	FALSE
soweto_23	bin.8	Soweto	Prevotella copri DSM 18205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	98.99	2.2	12.5	3.38	47.656	2841	43	0	0	0	FALSE	FALSE	98.0765	FALSE
soweto_23	bin.9	Soweto	Prevotella sp. CAG:520	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975	92.96	0	0	2.65	21.041	2037	32	0	0	0	FALSE	FALSE	97.5103	FALSE
soweto_23	maxbin.003	Soweto	Bacillales bacterium UBA7752	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__	95.13	1.91	0	1.88	27.38	1608	42	0	0	0	TRUE	FALSE	98.8151	FALSE
soweto_24	11_sub	Soweto	Alistipes onderdonkii WAL 8169 = DSM 19147	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	96.1	0.48	0	3.18	11.96	2632	30	0	0	1	FALSE	FALSE	99.7343	FALSE
soweto_24	24_sub	Soweto	Clostridia bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	91.13	2.74	42.86	1.58	3.978	1515	19	0	0	1	FALSE	FALSE	98.47	FALSE
soweto_24	bin.2	Soweto	Oscillibacter sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900548615	91.72	1.99	10	2.35	15.787	2202	45	0	0	1	TRUE	FALSE	99.244	FALSE
soweto_24	maxbin.001	Soweto	[Eubacterium] siraeum V10Sc8a	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	97.32	1.74	25	2.87	10.533	2493	29	2	7	1	FALSE	FALSE	97.5103	FALSE
soweto_25	0	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	81.09	3.21	30	1.49	3.101	1351	15	0	0	1	FALSE	FALSE	97.9877	FALSE
soweto_25	18	Soweto	uncultured Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__GCA-900066995;s__GCA-900066995 sp900291955	95.13	0.34	0	1.69	3.59	1422	7	0	0	1	TRUE	FALSE	98.5383	FALSE
soweto_25	bin.4	Soweto	Oscillospiraceae bacterium UBA6409	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000435555	89.93	0.69	50	2.03	30.957	1923	44	0	0	0	TRUE	FALSE	98.5093	FALSE
soweto_25	bin.6_sub	Soweto	[Eubacterium] siraeum V10Sc8a	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	82.96	0	0	2	6.491	1709	21	0	0	0	FALSE	FALSE	98.9509	FALSE
soweto_25	bin.8	Soweto	Alistipes sp. CAG:514	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp900544195	93.17	0.95	0	2.99	33.961	2287	44	0	0	0	TRUE	FALSE	98.0285	FALSE
soweto_25	bin.9	Soweto	Clostridium sp. CAG:138	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	92.26	1.34	0	1.87	29.224	1643	28	0	0	0	FALSE	FALSE	99.4194	FALSE
soweto_25	maxbin.003_sub	Soweto	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000432515	94.6	6.9	10.53	3.54	23.288	2929	52	4	8	2	FALSE	FALSE	96.9588	FALSE
soweto_26	16	Soweto	Prevotella stercorea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea	98.52	0.49	0	3.1	18.878	2495	47	0	0	1	FALSE	FALSE	97.119	FALSE
soweto_26	21	Soweto	Alistipes onderdonkii subsp. vulgaris	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	98.8	0.48	0	3.37	145.273	2811	45	0	0	0	TRUE	FALSE	99.8387	FALSE
soweto_26	maxbin.008	Soweto	Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	80.07	2.26	33.33	3.49	3.049	3372	41	0	0	0	FALSE	FALSE	99.8929	FALSE
soweto_28	3	Soweto	Faecalibacterium prausnitzii SL3/3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	94.22	3.2	37.5	2.82	5.554	2642	40	0	0	0	FALSE	FALSE	97.6062	FALSE
soweto_28	47	Soweto	Ruminococcus sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	84.34	0.02	0	2.15	3.553	1839	16	0	0	0	FALSE	FALSE	98.3925	FALSE
soweto_28	maxbin.002_sub	Soweto	Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.12	1.87	70.59	4.69	54.133	3741	41	2	9	3	FALSE	FALSE	99.4288	FALSE
soweto_29	4	Soweto	unclassified Akkermansia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp004167605	90.86	2.07	0	2.71	4.707	2505	34	1	1	1	TRUE	FALSE	99.9423	FALSE
soweto_29	bin.8	Soweto	[Eubacterium] rectale DSM 17629	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	92.95	0.58	0	2.12	13.867	1843	13	0	0	0	FALSE	FALSE	98.3186	FALSE
soweto_30	maxbin.001	Soweto	Prevotella copri	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	78.32	9.84	77.36	3.29	7.614	2746	26	0	1	1	FALSE	FALSE	97.0338	FALSE
soweto_30	maxbin.002	Soweto	Prevotella sp. Marseille-P4119	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900290275	94.09	0.25	100	2.92	22.472	2251	34	0	0	0	FALSE	FALSE	98.2939	FALSE
soweto_31	27	Soweto	Prevotellaceae bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia timonensis	84.35	2.42	28.57	2.33	4.35	1812	23	0	0	0	FALSE	FALSE	97.0852	FALSE
soweto_31	28	Soweto	Faecalibacterium sp. BIOML-A1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	79.42	1.25	66.67	2.45	4.568	2308	30	0	0	1	FALSE	FALSE	98.5001	FALSE
soweto_31	3	Soweto	Bacteroides sp. CAG:770	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000435075	94.39	3.25	11.11	3.26	19.699	2677	26	0	0	0	FALSE	FALSE	96.7632	FALSE
soweto_31	36	Soweto	Unclassified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	92.7	1.19	0	3.31	38.285	2548	43	1	0	0	FALSE	FALSE	98.4658	FALSE
soweto_31	39	Soweto	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp000432435	92.62	1.01	0	1.73	11.796	1549	21	0	0	0	FALSE	FALSE	98.8819	FALSE
soweto_31	52	Soweto	Bacteroidales bacterium H8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795	84.97	1.7	20	2.08	4.309	1654	26	0	0	0	FALSE	FALSE	98.2397	FALSE
