MetaCyc Pathway	bushbuckridge_1	bushbuckridge_2	bushbuckridge_3	bushbuckridge_4	bushbuckridge_5	bushbuckridge_6	bushbuckridge_7	bushbuckridge_8	bushbuckridge_9	bushbuckridge_10	bushbuckridge_11	bushbuckridge_12	bushbuckridge_13	bushbuckridge_14	bushbuckridge_15	bushbuckridge_16	bushbuckridge_17	bushbuckridge_18	bushbuckridge_19	bushbuckridge_20	bushbuckridge_21	bushbuckridge_22	bushbuckridge_23	bushbuckridge_24	bushbuckridge_25	bushbuckridge_26	bushbuckridge_27	bushbuckridge_28	bushbuckridge_29	bushbuckridge_30	bushbuckridge_31	bushbuckridge_32	bushbuckridge_33	bushbuckridge_34	bushbuckridge_35	bushbuckridge_36	bushbuckridge_37	bushbuckridge_38	bushbuckridge_39	bushbuckridge_40	bushbuckridge_41	bushbuckridge_42	bushbuckridge_43	bushbuckridge_44	bushbuckridge_45	bushbuckridge_46	bushbuckridge_47	bushbuckridge_48	bushbuckridge_49	bushbuckridge_50	bushbuckridge_51	bushbuckridge_52	bushbuckridge_53	bushbuckridge_54	bushbuckridge_55	bushbuckridge_56	bushbuckridge_57	bushbuckridge_58	bushbuckridge_59	bushbuckridge_60	bushbuckridge_61	bushbuckridge_62	bushbuckridge_63	bushbuckridge_64	bushbuckridge_65	bushbuckridge_66	bushbuckridge_67	bushbuckridge_68	bushbuckridge_69	bushbuckridge_70	bushbuckridge_71	bushbuckridge_72	bushbuckridge_73	bushbuckridge_74	bushbuckridge_75	bushbuckridge_76	bushbuckridge_77	bushbuckridge_78	bushbuckridge_79	bushbuckridge_80	bushbuckridge_81	bushbuckridge_82	bushbuckridge_83	bushbuckridge_84	bushbuckridge_85	bushbuckridge_86	bushbuckridge_87	bushbuckridge_88	bushbuckridge_89	bushbuckridge_90	bushbuckridge_91	bushbuckridge_92	bushbuckridge_93	bushbuckridge_94	bushbuckridge_95	bushbuckridge_96	bushbuckridge_97	bushbuckridge_98	bushbuckridge_99	bushbuckridge_100	bushbuckridge_101	bushbuckridge_102	bushbuckridge_103	bushbuckridge_104	bushbuckridge_105	bushbuckridge_106	bushbuckridge_107	bushbuckridge_108	bushbuckridge_109	bushbuckridge_110	bushbuckridge_111	bushbuckridge_112	bushbuckridge_113	bushbuckridge_114	bushbuckridge_115	bushbuckridge_116	bushbuckridge_117	bushbuckridge_118	soweto_1	soweto_2	soweto_3	soweto_4	soweto_5	soweto_6	soweto_7	soweto_8	soweto_9	soweto_10	soweto_11	soweto_12	soweto_13	soweto_14	soweto_15	soweto_16	soweto_17	soweto_18	soweto_19	soweto_20	soweto_21	soweto_22	soweto_23	soweto_24	soweto_25	soweto_26	soweto_27	soweto_28	soweto_29	soweto_30	soweto_31	soweto_32	soweto_33	soweto_34	soweto_35	soweto_36	soweto_37	soweto_38	soweto_39	soweto_40	soweto_41	soweto_42	soweto_43	soweto_44	soweto_45	soweto_46	soweto_47	soweto_48	soweto_49	soweto_50	soweto_51
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	14.3046	34.4864	6.20578	25.4729	35.2308	16.4411	7.86781	15.3078	10.2299	304.428	41.5405	102.176	5.77254	2.02302	60.9525	7.02005	42.2478	5.41849	41.6703	12.5763	409.009	12.9982	132.909	35.6057	80.715	228.882	30.5624	30.4493	21.8899	243.599	9.68981	9.12161	13.8043	8.12904	158.412	73.7624	30.0279	19.158	73.7245	14.4428	79.0065	133.455	17.1855	15.4906	34.6076	12.4343	38.8193	142.14	40.4543	15.6785	4.97573	55.0792	7.90363	28.942	149.517	53.0207	6.07663	55.3055	122.202	105.269	5.13681	16.4614	98.8621	40.5534	38.9948	9.83524	51.7027	14.2548	15.5964	15.2963	129.72	15.2681	0	24.389	13.4598	31.9755	15.6645	18.6141	51.6996	34.6176	21.8298	29.5196	6.21071	12.66	12.4265	169.818	170.714	10.1077	69.3833	28.0373	59.365	232.977	38.4255	34.277	8.19582	24.9781	148.162	15.5488	94.8024	82.2272	12.1469	45.134	1.73105	49.1431	42.051	98.6905	18.0907	37.3389	77.8567	37.2362	29.2637	66.4271	23.5081	106.229	8.0703	49.3701	17.1218	45.6228	22.3857	111.325	49.7764	33.8227	23.5318	42.3169	0	1.61035	37.7934	32.9704	61.4333	9.10825	56.4837	32.3176	29.7047	14.6476	15.0383	17.8656	11.27	44.2218	9.20356	21.9837	2.09338	104.714	50.6201	189.375	90.5493	11.0369	12.2351	9.60729	35.4813	6.92898	31.4498	198.16	10.5005	144.92	7.91111	0	33.6438	27.8221	36.5739	8.07571	5.96327	9.5655	12.3978	8.256	38.6941	35.5713	41.6013	6.01192	65.5511
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53061	1.73174	0	0	4.12119	0	1.34142	0	8.03463	0	0	0	0	0.418641	0	0	0	2.62281	5.14835	0	0	4.39566	1.47657	3.30379	0	0	0	0	2.76961	0	8.81222	0	0	0	0	9.93924	0	0	4.07536	4.09316	0	0	0	0	1.5089	0	0.50963	0	0	0	2.50164	0	15.6206	0	0	0	0	0	0.758073	0.894249	0	9.27398	0	5.35319	0	0	0	0.180219	5.23624	0	0	0	7.69354	0.106263	0	0.853371	0	0	3.72347	1.29226	0.596079	0	0	0	0	0	0	0	0	4.73014	0	0	5.31727	0	0	0	0	0	0	5.62687	0	4.66122	0	0.869667	0	0	0	0	0	0	0	0	0	0.875371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44227	0	5.95219	0	0	0	0	0	0	0	0	0	0	0	0	7.88122	0	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19821	0	0	0	0	0	1.71814	1.96956	0	0	0	0	0	0	1.80599	0	0.337623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42312	0	2.37838	0	0	0.855052	0	0	0	0	0	0.66373	2.57341	0	0	0	0	1.54225	0	0	0	0	0	0	0	0	2.58726	0	0	0	0	0	0	0	0	0	0	3.30544	0	0	0	0	0	0	0	0	0	0	0	0	4.40258	0	0	0	0	3.81275	0	0	0	0	0	0	0	0	0	0	0	0	3.41439	0	0	0	0	0	0	9.81196	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	484.321	440.844	536.056	362.142	401.135	235.548	422.204	327.118	259.717	271.09	298.638	309.025	386.457	506.456	280.284	432.702	215.766	401.652	347.561	622.015	329.547	365.196	275.307	246.686	374.221	329.313	417.457	284.554	417.301	282.491	454.274	419.168	294.039	406.894	292.002	360.713	404.001	445.671	387.505	350.451	395.634	398.072	437.333	532.902	372.712	290.492	487.714	289.774	421.5	457.495	383.192	409.334	383.519	250.806	181.237	264.532	439.51	274.253	307.751	230.738	470.27	360.814	306.07	409.052	421.446	480.276	325.362	391.84	368.935	498.222	282.361	460.956	0	438.209	277.491	373.744	415.368	443.274	398.895	360.404	367.398	290.043	403.478	216.019	447.816	381.989	334.105	461.959	486.432	412.643	383.077	307.952	445.416	333.132	445.444	429.466	345.159	383.584	350.207	277.83	387.181	338.637	401.328	448.139	380.027	201.528	516.279	313.79	261.092	443.1	438.383	343.095	386.903	245.629	309.553	304.654	371.612	277.467	447.991	309.446	483.315	405.567	283.544	465.684	486.15	356.512	12.3423	381.136	325.471	540.318	486.676	476.167	407.502	264.961	339.223	360.507	359.436	344.354	482.757	235.172	354.923	323.992	233.09	494.747	441.106	523.544	486.979	236.693	465.827	354.36	424.954	336.211	393.151	336.401	318.611	376.092	453.136	378.689	381.454	371.027	377.114	275.886	399.97	424.749	306.292	359.211	344.721	382.237	246.199
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	516.75	471.037	589.828	386.93	396.809	266.843	391.917	319.963	283.184	212.709	324.893	309.256	372.785	497.126	219.016	462.9	246.411	436.755	395.859	612.912	305.009	429.329	293.359	248.214	385.166	306.175	449.237	313.178	414.16	296.652	468.494	461.764	353.454	434.527	335.281	401.186	406.718	508.04	390.9	378.125	399.056	419.043	479.426	519.766	399.002	400.884	471.622	310.672	436.369	458.361	448.337	386.392	440.128	248.774	197.538	275.659	473.215	296.246	324.236	292.959	496.433	455.072	350.334	412.565	433.256	502.373	318.002	409.025	415.345	585.526	294.385	511.428	0	564.072	405.223	406.805	469.641	450.901	424.422	410.882	388.649	335.389	489.927	286.211	450.911	361.021	349.058	431.093	534.511	440.57	416.393	282.202	470.688	346.009	515.506	495.753	353.267	424.741	374.067	287.676	392.385	328.511	507.453	477.849	399.015	221.864	560.829	348.098	308.943	572.995	470.855	375.482	438.496	260.503	450.084	439.26	392.401	347.088	447.545	316.662	466.543	391.046	322.821	433.336	579.195	431.302	15.7734	343.312	262.476	537.057	485.418	415.483	428.461	261.938	389.001	398.736	401.164	300.565	469.698	252.84	421.396	350.84	246.69	473.864	400.417	534.704	461.667	324.303	480.485	403.861	456.716	312.116	362.791	340.689	359.59	467.824	454.027	404.895	430.567	365.769	392.206	306.431	376.33	449.288	318.704	366.251	344.043	407.165	266.912
PENTOSE-P-PWY: pentose phosphate pathway	39.7929	28.6859	5.24837	11.1243	68.4796	106.172	136.921	95.7019	98.2654	212.856	78.3061	136.149	21.6691	126.624	40.7539	45.2699	61.3431	0	111.262	152.715	191.332	28.6545	104.73	32.3894	144.574	185.035	82.4321	80.1386	71.4109	138.302	93.1125	42.2209	72.1018	19.1931	105.861	51.7822	58.5715	14.1979	160.207	99.2948	123.135	105.846	141.615	198.1	165.559	67.0177	167.549	145.577	22.0524	27.8688	37.8045	59.828	28.985	18.1061	73.6259	21.6888	63.1725	118.855	59.7818	93.4369	56.6842	13.2806	80.5434	53.0371	60.0266	110.771	187.382	59.0713	46.8122	13.3653	84.8644	11.7893	0	18.0794	6.59557	99.0384	40.1537	21.9278	52.0779	87.8183	6.02401	44.4384	14.7948	36.5338	15.8173	286.715	148.253	78.293	74.441	12.9848	55.0122	226.216	36.916	55.162	40.6429	136.103	143.621	99.3391	80.1598	130.259	34.3986	50.5418	56.2796	141.949	15.9413	30.4837	39.1965	18.4679	110.764	80.1141	54.2347	104.617	58.2319	26.699	1.97544	27.1525	80.7893	121.837	32.8368	81.4786	271.58	38.843	96.6807	116.285	18.7295	21.0424	155.287	30.888	131.444	36.5236	164.801	79.5498	236.936	89.1975	85.3521	147.623	64.9091	70.3225	139.434	0	84.2869	208.169	81.4787	177.172	216	173.085	256.238	19.2065	17.3682	7.5252	81.485	216.389	129.179	240.992	114.684	73.2749	141.177	114.933	143.922	126.868	158.773	0	22.7733	44.148	143.199	26.0801	192.608	137.81	99.303
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	751.495	674.61	878.304	766.023	577.266	626.537	585.015	552.968	585.391	390.694	592.387	534.143	757.299	610.065	655.11	723.717	448.114	727.126	566.167	625.602	493.561	857.993	491.103	701.366	473.005	446.632	722.739	637.335	666.943	587.823	726.601	699.164	626.279	737.967	602.395	627.095	696.921	852.316	564.105	608.415	523.085	591.741	709.467	543.65	526.442	1180.01	518.703	505.089	715.663	848.269	736.239	693.002	727.349	460.258	501.099	662.857	789.771	556.995	555.992	543.29	746.163	880.75	656.7	671.937	668.079	626.096	486.724	707.391	654.889	819.237	484.793	856.517	0	899.143	1049.66	626.576	832.657	686.606	667.445	672.958	791.92	673.213	822.196	957.948	848.685	424.75	528.294	917.985	886.469	728.27	636.087	352.19	682.474	797.223	725.547	674.716	542.498	654.356	678.429	482.578	730.668	618.339	925.702	608.698	739.782	457.516	897.755	745.183	593.669	917.067	683.767	655.483	672.406	733.219	1041.35	914.427	675.053	672.953	878.519	543.159	478.671	699.382	578.634	504.578	1106.12	813.788	194.795	645.996	936.161	787.682	580.604	761.657	570.828	606.693	615.614	644.578	615.901	620.524	520.225	605.93	657.896	494.792	650.376	561.043	485.366	570.553	518.213	932.82	761.85	624.469	624.687	586.758	597.116	407.081	700.165	834.117	620.774	615.486	584.034	625.026	506.962	641.297	722.388	774.699	541.132	589.143	465.343	541.975	601.822
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	272.279	306.861	224.384	145.081	225.42	169.024	182.077	225.912	73.6736	231.081	129.523	202.968	302.075	46.3462	129.455	372.1	44.2667	241.186	147.427	260.847	360.269	248.49	166.811	106.535	237.526	329.63	267.872	123.816	299.376	343.433	300.161	238.253	140.624	250.245	345.941	282.053	220.22	231.158	231.478	294.981	171.636	276.788	144.054	271.8	227.512	194.996	197.095	212.329	192.209	255.097	163.817	326.495	315.513	57.8342	112.212	48.0219	263.738	137.409	134.325	91.2626	282.549	212.31	291.716	256.415	269.471	251.264	195.88	268.336	228.55	203.24	215.44	204.363	0	271.429	168.334	295.103	162.799	324.962	194.695	153.43	246.32	148.598	153.367	162.306	263.324	299.626	212.741	239.426	269.153	265.508	212.645	332.495	251.057	243.351	287.576	170.24	232.144	144.721	242.567	165.07	327.536	222.357	361.549	212.23	170.448	85.6929	314.806	107.3	110.35	321.923	219.504	262.007	219.649	29.1468	124.067	172.608	270.649	108.818	344.078	179.416	154.243	236.225	172.446	208.824	327.364	227.356	21.1323	88.3359	293.756	287.336	144.522	367.191	301.538	130.138	165.947	176.109	84.3156	107.452	265.193	59.2404	309.507	162.457	94.4504	211.592	194.921	317.802	276.521	142.783	274.575	285.756	233.488	297.864	323.346	233.745	101.636	152.468	227.745	124.008	258.418	263.687	214.243	82.4304	194.919	310.206	162.896	127.343	121.2	188.154	56.4624
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	16.8831	16.8138	24.3356	32.8853	5.90928	55.3395	40.248	18.1549	37.5369	41.4876	18.4765	49.7645	7.95146	23.2149	20.4536	25.7851	0	48.8003	41.1064	3.84032	17.6171	11.2313	18.3976	20.5749	13.7513	18.3749	23.1093	33.6227	26.7305	10.4699	21.6219	28.8976	27.7228	20.0417	31.8414	41.065	26.9503	25.8989	46.5401	32.2752	11.0288	25.3477	36.0341	49.1198	11.2498	15.6266	18.2842	88.437	20.0876	16.8478	20.9346	37.8924	33.2657	38.0185	33.1129	30.6123	25.3089	16.6865	21.7085	21.4495	41.7519	27.6091	27.3068	18.7713	25.9942	51.8609	26.3983	29.6592	21.5709	16.183	18.7337	13.6806	0	27.3102	14.1263	40.6724	25.1819	31.1286	49.7785	20.6093	19.5978	25.0611	14.4194	6.08767	13.5184	0	32.9945	25.0346	51.6806	28.5767	9.20385	1.3891	28.3182	27.0762	59.2076	13.1708	82.1025	53.3371	26.7146	33.8035	44.2993	31.6624	21.6343	47.5214	16.7838	24.4071	21.4569	61.2252	52.6221	34.3876	50.6436	31.4231	29.3586	20.0124	17.6287	22.6434	32.5292	32.6428	0	48.4692	0	19.4349	25.9331	17.4638	12.5747	4.00114	0	33.9892	12.8705	0	6.65005	26.7615	31.1653	25.1712	19.8582	35.9316	12.3472	9.98852	12.9164	0	27.8163	77.0802	16.3621	5.38365	23.0807	22.7541	30.271	18.3881	15.7096	13.0882	0	15.5986	23.8281	31.0144	31.0293	15.4889	0	22.9497	46.5044	11.1646	27.475	6.01838	3.17269	37.2055	13.8171	31.5201	69.8521	17.5909	19.797
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	32.2122	70.1844	33.3471	37.4685	71.3962	87.8184	50.7125	26.6472	71.1605	132.222	68.3427	148.956	33.4266	46.2282	37.5569	34.1306	13.9702	51.1893	64.9417	22.7863	163.38	17.1528	71.926	32.114	84.0887	217.054	68.5973	77.7413	43.1601	133.499	21.1148	38.2745	55.7804	40.8311	130.614	83.612	39.7928	27.5192	75.4484	44.3372	81.9432	99.3759	51.1651	60.5061	43.0053	33.928	35.5725	180.249	51.7019	43.2332	22.6507	42.6273	75.5221	39.7767	81.7733	40.7367	38.4597	59.3904	83.8336	37.4089	44.1234	32.0797	85.0722	48.6089	60.8281	58.7436	83.4849	64.6571	27.3296	25.3042	98.5211	40.1451	0	29.5742	25.1941	62.7192	154.952	43.2564	51.3532	48.301	18.9833	47.2906	25.2954	5.64504	43.4136	109.414	93.2099	30.308	64.0307	34.6681	26.9323	266.977	39.8134	31.7533	57.8746	44.9302	129.136	69.6648	111.18	112.481	46.6952	68.1592	26.0942	56.1564	30.7641	59.8354	34.0194	136.784	83.8244	63.8804	58.9339	94.1609	33.0169	82.5847	24.6442	38.3559	32.5542	42.4193	8.3477	99.6676	30.5295	70.0844	101.669	35.9047	35.2607	16.9321	0	47.8259	78.192	24.6616	34.0519	45.7676	45.2409	69.9215	90.5307	41.4915	54.0839	48.3701	41.5471	15.8559	34.3007	134.779	106.84	64.0795	86.4909	50.9632	28.9796	21.7085	16.4543	13.7265	8.15316	134.363	40.9468	184.072	37.5014	35.6549	35.8741	72.9097	66.7522	11.5738	40.5074	21.9638	44.9823	37.9589	33.1332	58.6941	120.745	25.8708	15.2773
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	19.9687	14.6248	3.59686	3.42857	20.7137	30.1332	32.4623	22.5957	11.1785	100.212	10.8553	59.6652	3.69102	31.0346	0	16.9316	23.5333	4.12746	41.8702	101.817	105.267	21.3246	38.3752	15.0907	68.0686	105.577	29.6284	23.7833	23.739	85.7398	34.7701	17.472	25.3768	5.89613	59.4813	36.6983	25.0291	8.74468	48.2447	32.1829	54.6391	43.2243	38.4962	81.9457	72.6399	27.121	112.099	62.558	20.3771	16.526	16.6736	39.6549	9.61094	4.02172	25.5329	9.73121	26.6343	48.9117	31.4354	22.7406	25.5125	9.83449	36.028	25.105	25.0551	47.4488	70.0182	28.2751	18.0618	8.71801	44.4573	8.36357	0	10.8316	9.15666	20.3175	27.421	16.0869	11.9154	42.2028	8.41153	21.0267	19.804	13.4203	9.52576	128.115	59.8233	22.0568	38.6862	6.30368	16.9536	138.594	21.72	13.196	23.0061	54.1916	51.3246	23.6117	45.6288	44.8029	8.79573	37.4553	19.0956	42.8448	12.2485	11.7961	20.2072	12.0113	20.9931	14.6851	40.6755	50.047	14.9532	3.03313	8.41163	20.842	42.3025	29.7082	8.41296	32.3908	239.924	20.0161	32.5989	71.4948	17.5263	11.6333	38.6974	9.72818	65.9024	12.0477	82.0317	13.2825	45.9244	24.1325	31.3222	32.06	27.3635	24.6339	123.069	0	36.8587	56.9701	8.79269	55.8608	84.3438	103.327	131.361	10.0887	3.21701	7.27779	17.6782	94.8407	29.411	89.0773	50.8448	35.3194	75.2474	37.7319	68.509	53.8878	94.0967	2.68601	1.58327	14.021	42.8277	10.7936	94.951	40.9153	9.38266
PPGPPMET-PWY: ppGpp biosynthesis	25.8005	19.6785	36.2431	52.9953	22.2315	18.6494	0.768188	2.55005	10.473	22.1246	7.7548	17.9691	61.3804	13.1481	2.75778	5.94286	0	42.4739	37.5903	8.0053	62.2233	46.343	23.771	15.0197	54.2725	42.8498	9.55877	14.9948	3.63167	44.0198	61.9989	43.4579	11.8544	47.4125	51.8323	51.485	26.9663	38.4297	15.5733	32.3522	43.6033	40.0453	10.6873	6.83819	16.756	51.5398	28.0542	46.3738	65.2177	28.7986	58.6182	8.64686	41.3786	13.1875	20.3103	9.8078	63.0073	36.1694	21.9585	11.7912	26.4873	61.5217	31.1207	33.7763	37.7248	11.8883	56.9657	27.257	28.1605	45.722	82.6395	44.7877	0	57.6319	49.9429	48.4339	22.7554	31.6435	14.2015	26.7427	67.7376	13.3683	75.2561	35.3775	31.2754	23.5043	26.952	32.5794	50.5314	47.968	15.478	36.4274	40.3859	5.77524	62.9375	33.2739	62.189	12.2892	58.2961	34.0135	8.81436	39.1723	84.6591	24.6486	60.5031	17.5461	66.7681	32.2296	14.5048	105.274	35.4184	64.3823	33.0265	9.47482	57.6358	63.4607	9.11619	19.5847	48.9542	51.2203	3.6348	53.9154	17.0506	6.76198	39.0097	67.684	0	13.1446	22.2369	48.7894	22.2756	13.7228	25.5451	31.0002	42.2696	8.05509	15.7471	15.4542	5.91484	10.6205	8.68993	11.2822	22.3059	13.272	15.6598	26.329	5.81214	61.4221	26.4961	46.3748	9.65982	105.715	36.8567	71.9397	2.77647	52.1017	30.7117	3.99747	59.6498	32.7987	18.8978	27.4864	31.498	34.1079	24.5491	7.50914	25.8825	13.7105	5.46026
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	0	4.43985	0	0	0	0	12.7768	0	0	0	9.3821	3.38207	0	3.46885	0	0	0	0	0	0	3.771	0	1.69496	6.88098	0	1.43794	5.21116	5.16344	0	0	5.64967	0	4.2433	0	2.23291	1.11587	0	0	0	4.29268	3.30637	0.725868	7.87963	0	6.12622	0	1.88497	0	0.999224	5.55024	4.28163	0	2.09845	3.21364	3.38932	2.15172	2.52924	4.85962	2.88532	4.93463	6.14203	0	0	2.21983	0.983265	2.8713	2.71018	6.04628	0	3.49159	1.00625	0	0	0	0.958569	4.52482	2.19201	0	0.691379	5.69001	4.85848	0	0	0	4.41636	0.577636	0.701497	3.91033	0	3.18703	2.67619	0	2.9597	4.16044	0	0	0	9.18252	1.08984	7.29565	1.95977	5.63786	0	5.30493	4.74404	0	1.00515	2.26346	5.83813	1.19318	2.92509	0	2.21365	5.94846	0	0	4.90288	7.53693	3.83616	0	0	0	4.29292	0	0	0	0	2.51667	0	0	0	0	0	0	0	0	0	0	0	6.75044	0	0	5.55537	0	2.48935	0	0	0	3.53893	0	0	0	0	0	3.56415	0	0	2.64964	0	0	0	0	0	0	0	0	0	5.24931	3.46795
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	10.9705	0	0	0	0	4.2547	0	0	0	0.467558	0.358526	0	0	0	0	0	0	18.2444	0	7.93381	0	1.90122	0	1.78897	0	0.227277	0	2.59247	7.6639	0	2.20204	0	0	1.55829	24.2995	6.59334	0	3.40085	0.958904	20.788	2.24256	0	0	2.07329	0.107589	3.53241	43.3999	0	2.26015	1.85141	0	0	0	14.9986	0	0	7.58979	0	0	1.99824	1.30678	0.176307	5.26761	1.56496	2.23799	10.7277	0	0	1.77087	31.5437	0	0	2.04878	0	0	3.7361	0	0	6.9417	0	0	0	0	0	8.40847	0.625972	1.29875	0	0.105155	0.880652	6.63051	0	0.0669893	0.1888	0	0	0	41.0402	26.0514	0	3.61372	0	1.84984	2.85072	9.07559	0	0	0	0	0	21.3134	0	0.704813	1.02398	0.125794	0.0773077	7.50698	0	11.5641	0	3.83555	0	0	0	0	0	0	12.4636	0	0	2.98618	0	0	0	0	0	2.98397	0	0	0	0	0	0	2.16804	0	0	0	0	0	0	47.8743	0	55.7469	0	0	0	0	0	0	0	0	0	0	0	0	1.87647	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	3.07792	19.9787	0	32.7055	88.1894	139.108	131.947	104.569	141.024	204.94	117.863	111.536	10.8954	124.156	113.05	22.9757	28.0252	55.7547	106.475	58.3839	250.338	48.4135	124.244	36.8607	195.213	19.2835	71.2638	251.303	73.3778	171.603	49.466	87.5994	119.169	87.5211	185.015	135.342	66.3081	44.8263	156.08	109.451	167.004	166.455	126.971	163.699	90.7035	25.4466	105.708	182.065	112.546	4.49011	24.2033	47.8526	83.2184	33.4316	161.962	18.15	65.8257	128.062	118.395	67.36	102.202	44.8401	141.415	118.526	101.811	86.0666	132.767	50.9987	25.0993	63.4933	177.427	49.089	0	69.7619	38.2764	81.1076	84.3257	49.5264	71.3489	50.6927	20.1063	59.0028	32.7419	12.9545	29.8867	206.107	206.901	40.8541	137.366	16.0849	29.9738	243.298	77.2961	43.295	72.5561	112.836	190.602	184.113	153.703	170.839	58.3167	121.22	72.8941	162.877	29.6038	122.424	111.675	176.958	135.273	85.1743	80.9015	151.582	75.4523	57.1241	46.6962	86.8048	42.8257	106.666	85.4122	184.663	117.933	102.224	143.023	110.8	7.76204	104.286	0	28.9198	94.1534	63.9881	66.7136	69.4198	128.543	0	150.195	129.781	93.5531	0	77.5169	0	29.2188	252.692	183.7	238.901	207.609	148.588	9.90066	50.3728	87.7778	15.5749	24.3375	236.976	146.233	256.105	35.48	74.6084	96.7647	38.6234	147.585	34.0561	105.093	74.3829	31.985	35.9758	140.136	94.516	206.157	19.1732	59.1459
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)	988.285	878.835	1069.71	995.894	762.128	716.099	791.245	788.254	667.124	504.27	684.411	615.787	931.54	865.55	717.604	940.638	738.712	905.539	675.666	681.54	563.599	859.629	632.463	724.637	624.593	573.509	829.991	711.83	781.582	639.46	918.962	757.613	811.305	803.094	655.399	756.061	816.518	929.076	612.976	742.314	659.854	702.495	801.653	714.16	712.943	1194.26	769.587	676.858	780.021	827.5	917.84	870.92	855.104	719.479	642.288	708.528	858.473	627.401	702.295	732.073	866.098	972.681	662.657	739.914	753.965	733.714	576.489	863.885	731.775	886.077	633.059	864.277	0	1022.92	1040.62	704.177	668.04	817.362	730.403	743.766	889.853	722.363	872.173	1045.36	838.577	525.376	605.962	940.965	835.427	838.132	771.133	511.902	768.116	876.668	846.323	772.594	676.002	763.105	749.114	600.242	858.821	679.002	1000.55	773.093	849.032	716.646	950.717	923.133	674.031	1031.73	848.181	748.5	834.275	789.951	1101.06	871.541	795.22	722.979	1030.88	634.183	727.541	851.765	760.369	550.536	1228.38	917.696	1005.75	781.306	1179.78	1012.21	574.063	978.525	724.663	634.727	763.146	695.188	904.986	684.795	622.709	763.612	834.967	605.042	746.089	471.368	613.425	806.968	679.727	1101.8	853.632	873.909	605.756	824.74	779.869	605.076	770	964.158	724.792	763.127	798.205	813.106	662.699	797.208	893.552	904.307	664.521	738.176	608.374	747.231	689.839
