	A19.tsv	A21.tsv	A29.tsv	A35.tsv	A50.tsv	A58.tsv	A60.tsv	A63.tsv	A66.tsv	A70.tsv	A73.tsv	B1.tsv	B13.tsv	B14.tsv	B19.tsv	B2.tsv	B23.tsv	B26.tsv	B27.tsv	B31.tsv	B33.tsv	B36.tsv	B37.tsv	B4.tsv	B41.tsv	B42.tsv	B46.tsv	B49.tsv	B52.tsv	B54.tsv	B56.tsv	B57.tsv	B58.tsv	B59.tsv	B62.tsv	B63.tsv	B65.tsv	B67.tsv	B72.tsv	B75.tsv	B76.tsv	B77.tsv	B8.tsv	C1.tsv	C10.tsv	C12.tsv	C15.tsv	C17.tsv	C19.tsv	C2.tsv	C22.tsv	C26.tsv	C28.tsv	C29.tsv	C31.tsv	C4.tsv	C6.tsv	C7.tsv	REF_GCA_000156015	REF_GCA_001915735
UniRef90_A0A1E3U939	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0
UniRef90_A0A1Q6SHW7	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1
UniRef90_A0A291TAF8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A2A6ZM12	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1
UniRef90_A0A2A7B319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A2U2ED15	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0
UniRef90_A0A2U2EEG9	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
UniRef90_A0A2U2EEJ0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
UniRef90_A0A2U2EEK9	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1
UniRef90_A0A2U2EEM2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
UniRef90_A0A2U2EHZ2	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1
UniRef90_A0A2U2EI53	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1
UniRef90_A0A329U0L9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
UniRef90_A0A350RMB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A350RMG8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A350RMJ2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A350RN23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A350RNH9	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0
UniRef90_A0A350RNL6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A350RNM1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A350RNS3	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1
UniRef90_A0A350RQ37	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1
UniRef90_A0A350RQ38	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A350RQK4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A374NZ55	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1
UniRef90_A0A395UUW6	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A395UW56	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0
UniRef90_A0A395UXL7	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0
UniRef90_A0A395UXM6	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1
UniRef90_A0A395UY42	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0
UniRef90_A0A395V092	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
UniRef90_A0A395V3G0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
UniRef90_A0A395V458	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
UniRef90_A0A395V931	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0
UniRef90_A0A395V946	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
UniRef90_A0A395ZBE9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A395ZDC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A396A9Y4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A396A9Z6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UniRef90_A0A396AEI0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0
UniRef90_A0A396AF95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
UniRef90_A0A396AFA4	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0
UniRef90_A0A396AFL8	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0
