Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage
A9	bin.1	2309	591	27	0	0	0	0	0	0	0	2722145	383847	0	0	0	0	0	0	0	591	42049	2722145	4527	3412	185	359	0	k__Bacteria (UID203)	5449	104	58	66	33	5	0	0	0	49.06	8.62	80	14	0	0	0	Bacteroides_stercoris	65.778	2.72	Bacteroides_stercoris	14.3551500746654
A9	bin.2	1689	139	66	2	0	0	0	0	0	0	1958838	1515183	126078	0	0	0	0	0	0	139	73612	1958838	23315	10861	31	62	0	p__Bacteroidetes (UID2605)	350	314	208	6	305	3	0	0	0	97.6	1.08	0	15	1	0	2	Alistipes_putredinis	98.146	1.96	Alistipes_putredinis	24.9934910390752
A9	bin.3	1273	282	14	0	0	0	0	0	0	0	1398474	169227	0	0	0	0	0	0	0	282	15454	1398474	5166	3792	91	171	0	o__Clostridiales (UID1120)	304	250	143	56	193	1	0	0	0	71.19	0.7	0	9	0	0	0	Clostridiales_bacterium	75.107	1.4	Clostridiales_bacterium	15.4842349589624
A9	bin.4	1366	494	2	0	0	0	0	0	0	0	1811389	21661	0	0	0	0	0	0	0	494	11577	1811389	3508	2926	184	326	0	k__Bacteria (UID203)	5449	104	58	82	22	0	0	0	0	32.92	0	0	9	0	0	1	Bacteroides_vulgatus	32.759	1.81	Bacteroides	11.1111141781252
A9	bin.5	209	79	0	0	0	0	0	0	0	0	257118	0	0	0	0	0	0	0	0	79	6389	257118	3192	2792	33	55	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	NA	0	0	0	Parabacteroides_merdae	73.031	0.26	Parabacteroides_merdae	9.28931463374793
A9	bin.6	206	72	0	0	0	0	0	0	0	0	237999	0	0	0	0	0	0	0	0	72	7297	237999	3231	2795	30	50	0	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	15.83	0	0	NA	0	0	0	Alistipes_sp.	95.766	0.24	Alistipes_sp.	9.07629863991025
A9	bin.7	1547	349	12	0	0	0	0	0	0	0	1687474	157548	0	0	0	0	0	0	0	349	16971	1687474	5095	3603	113	210	0	o__Clostridiales (UID1212)	172	261	147	85	175	1	0	0	0	78.41	0.68	100	18	0	0	0	Faecalibacterium_cf.	51.697	1.69	Faecalibacterium	28.9149343930632
A9	bin.8	348	112	0	0	0	0	0	0	0	0	380567	0	0	0	0	0	0	0	0	112	5901	380567	3388	2874	46	77	0	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	NA	0	0	0	Ruminococcaceae_bacterium	96.609	0.38	Ruminococcaceae_bacterium	10.666452950466
A9	bin.9	2183	69	54	17	3	0	0	0	0	0	2313166	2233774	1355293	341874	0	0	0	0	0	69	120774	2313166	60137	30424	14	28	0	o__Clostridiales (UID1212)	172	263	149	6	256	1	0	0	0	97.27	0.34	0	35	0	0	1	Ruminococcaceae_bacterium	96.365	2.31	Ruminococcaceae_bacterium	40.7414340345656
A10	bin.1	2542	427	110	0	0	0	0	0	0	0	3398312	1835969	0	0	0	0	0	0	0	427	48702	3398312	10527	5679	97	205	0	p__Bacteroidetes (UID2605)	350	316	210	36	251	28	1	0	0	87.69	8.98	70.97	12	0	0	0	Alistipes_sp.	93.309	3.4	Alistipes_sp.	24.8267375096813
A10	bin.10	1447	288	27	0	0	0	0	0	0	0	1615091	323871	0	0	0	0	0	0	0	288	17301	1615091	6498	4382	89	166	0	o__Clostridiales (UID1212)	172	263	149	58	200	5	0	0	0	81.63	1.96	40	14	0	0	0	Ruminococcaceae_bacterium	99.197	1.62	Ruminococcaceae_bacterium	16.1464276625899
A10	bin.11	718	256	1	0	0	0	0	0	0	0	969127	14957	0	0	0	0	0	0	0	256	14957	969127	3750	3033	97	169	0	k__Bacteria (UID203)	5449	104	58	90	11	3	0	0	0	24.14	5.17	66.67	NA	0	0	1	Prevotella_sp.	75.784	0.97	Prevotella_sp.	15.3984462304734
A10	bin.12	626	226	2	0	0	0	0	0	0	0	835389	21526	0	0	0	0	0	0	0	226	10858	835389	3607	2944	85	150	0	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	19.06	0	0	NA	0	0	0	Parabacteroides_sp.	45.607	0.84	Parabacteroides	10.7479270136427
A10	bin.2	269	84	0	0	0	0	0	0	0	0	312716	0	0	0	0	0	0	0	0	84	8958	312716	3549	3031	32	56	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Prevotella_sp.	39.004	0.31	Prevotella	11.9106473605444
A10	bin.3	341	124	1	0	0	0	0	0	0	0	493795	10376	0	0	0	0	0	0	0	124	10376	493795	3874	3095	44	80	0	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.5	0	0	NA	0	0	0	Prevotella_sp.	69.524	0.49	Prevotella_sp.	14.5381180449377
A10	bin.4	215	53	1	0	0	0	0	0	0	0	216594	10065	0	0	0	0	0	0	0	53	10065	216594	4248	3079	19	34	0	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.86	0	0	NA	0	0	0	Prevotella_sp.	21.527	0.22	Prevotella	18.294828111582
A10	bin.5	381	139	1	0	0	0	0	0	0	0	469549	11675	0	0	0	0	0	0	0	139	11675	469549	3255	2803	57	95	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	Prevotella_sp.	60.988	0.47	Prevotella_sp.	10.2663406800994
A10	bin.6	700	226	0	0	0	0	0	0	0	0	834552	0	0	0	0	0	0	0	0	226	9739	834552	3608	2949	86	149	0	p__Bacteroidetes (UID2605)	350	316	210	226	90	0	0	0	0	25.19	0	0	7	0	0	0	Bacteroides_sp.	85.541	0.83	Bacteroides_sp.	10.2333347712306
A10	bin.7	567	170	3	0	0	0	0	0	0	0	735462	33461	0	0	0	0	0	0	0	170	11930	735462	4351	3458	61	108	0	k__Bacteria (UID203)	5449	104	58	79	24	1	0	0	0	28.68	1.72	0	2	0	0	0	Alistipes_sp.	97.735	0.74	Alistipes_sp.	13.69526909616
A10	bin.8	2332	498	55	0	0	0	0	0	0	0	3048231	841638	0	0	0	0	0	0	0	498	33661	3048231	7176	4485	137	271	0	g__Prevotella (UID2724)	55	567	296	134	381	50	1	1	0	80.74	11.53	33.9	22	0	0	0	Prevotella_sp.	55.057	3.05	Prevotella	26.0597375986269
A10	bin.9	1027	291	3	0	0	0	0	0	0	0	1230286	38167	0	0	0	0	0	0	0	291	15316	1230286	4354	3200	101	184	0	o__Clostridiales (UID1212)	172	263	149	139	124	0	0	0	0	46.82	0	0	3	0	0	0	[Eubacterium]_siraeum	82.005	1.23	[Eubacterium]_siraeum	13.4248052891767
A11	bin.1	4227	115	81	44	16	0	0	0	0	0	5168251	4960242	3963722	2012728	0	0	0	0	0	115	199425	5168251	80882	55467	23	43	0	o__Bacteroidales (UID2654)	163	486	266	3	482	1	0	0	0	98.87	0.13	0	50	0	0	3	Bacteroides_dorei	59.509	5.17	Bacteroides	75.7173268093984
A11	bin.2	8435	1848	234	0	0	0	0	0	0	0	11502305	3626713	0	0	0	0	0	0	0	1848	46568	11502305	6916	4557	491	1005	0	k__Bacteria (UID203)	5449	104	58	51	14	25	14	0	0	79.31	81.9	62.69	20	0	0	4	Bacteroides_fragilis	34.673	11.5	Bacteroides	26.0388243921544
A11	bin.3	1805	323	60	0	0	0	0	0	0	0	2260316	853931	0	0	0	0	0	0	0	323	32958	2260316	8207	5220	91	178	0	p__Bacteroidetes (UID2605)	350	314	208	62	249	3	0	0	0	77.96	0.75	0	7	0	0	1	Alistipes_finegoldii	81.017	2.26	Alistipes_finegoldii	16.9394013934335
A11	bin.4	1863	388	48	0	0	0	0	0	0	0	2415024	646209	0	0	0	0	0	0	0	388	28237	2415024	7018	4888	118	223	0	k__Bacteria (UID203)	5449	104	58	72	32	0	0	0	0	49.14	0	0	9	0	0	0	Bacteroides_(taxid	59.707	2.42	Bacteroides	17.7382709240157
A12	bin.1	686	189	2	0	0	0	0	0	0	0	793295	21474	0	0	0	0	0	0	0	189	10999	793295	4310	3226	66	120	0	k__Bacteria (UID203)	5449	104	58	77	25	2	0	0	0	41.38	3.45	0	NA	0	0	0	Ruminococcaceae_bacterium	93.19	0.79	Ruminococcaceae_bacterium	14.1176359361902
A12	bin.10	304	100	0	0	0	0	0	0	0	0	369952	0	0	0	0	0	0	0	0	100	9512	369952	3560	2914	38	66	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	NA	0	0	0	Prevotella_sp.	58.606	0.37	Prevotella	12.3413307672347
A12	bin.11	426	129	1	0	0	0	0	0	0	0	510690	13501	0	0	0	0	0	0	0	129	13501	510690	3962	3126	47	84	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	Prevotella_copri	49.582	0.51	Prevotella	18.4118545497268
A12	bin.2	689	252	3	0	0	0	0	0	0	0	1049545	36654	0	0	0	0	0	0	0	252	15973	1049545	4197	3256	89	160	0	k__Bacteria (UID203)	5449	104	58	84	20	0	0	0	0	26.49	0	0	NA	0	0	0	Prevotella_sp.	72.28	1.05	Prevotella_sp.	14.476987647028
A12	bin.3	1912	667	6	0	0	0	0	0	0	0	2675269	78729	0	0	0	0	0	0	0	667	20943	2675269	4064	3120	236	426	0	k__Bacteria (UID203)	5449	104	58	80	16	7	1	0	0	37.07	15.52	70	NA	0	0	1	Prevotella_sp.	73.402	2.68	Prevotella_sp.	15.8142414837536
A12	bin.4	221	64	0	0	0	0	0	0	0	0	273768	0	0	0	0	0	0	0	0	64	9423	273768	4385	3411	23	41	0	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0	NA	0	0	1	Prevotella_sp.	24.258	0.27	Prevotella	11.633207679495
A12	bin.5	1207	343	12	0	0	0	0	0	0	0	1524860	171857	0	0	0	0	0	0	0	343	23462	1524860	4401	3321	111	212	0	k__Bacteria (UID203)	5449	104	58	78	25	0	1	0	0	31.66	3.45	100	15	0	0	1	Prevotella_copri	88.925	1.52	Prevotella_copri	40.5619532284931
A12	bin.6	2371	500	62	1	0	0	0	0	0	0	3020103	902944	54893	0	0	0	0	0	0	500	54893	3020103	6769	4514	139	277	0	g__Prevotella (UID2724)	55	567	296	157	374	33	3	0	0	81.17	5.73	40.48	12	0	0	0	Prevotella_sp.	49.913	3.02	Prevotella	25.4642142999759
A12	bin.7	796	248	7	0	0	0	0	0	0	0	1111912	88062	0	0	0	0	0	0	0	248	19433	1111912	4619	3329	82	153	0	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	25.86	0	0	NA	0	0	0	Prevotella_sp.	36.922	1.11	Prevotella	14.5685539862867
A12	bin.8	903	187	15	0	0	0	0	0	0	0	973567	221141	0	0	0	0	0	0	0	187	43211	973567	5550	3807	53	107	0	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	12.07	0	0	9	0	0	0	Prevotella_copri	68.549	0.97	Prevotella_copri	31.4295780362317
A12	bin.9	483	150	0	0	0	0	0	0	0	0	520742	0	0	0	0	0	0	0	0	150	6893	520742	3400	2994	62	103	0	k__Bacteria (UID203)	5449	102	56	81	21	0	0	0	0	20.78	0	0	5	0	0	0	Faecalibacterium_prausnitzii	88.426	0.52	Faecalibacterium_prausnitzii	17.4771767977232
A13	bin.1	399	120	0	0	0	0	0	0	0	0	417112	0	0	0	0	0	0	0	0	120	7859	417112	3417	2820	48	82	0	k__Bacteria (UID2495)	2993	143	89	92	50	1	0	0	0	32.39	0.07	0	3	0	0	0	Elusimicrobia_bacterium	93.05	0.42	Elusimicrobia_bacterium	11.3343658298011
A13	bin.2	1722	397	22	0	0	0	0	0	0	0	1935184	272004	0	0	0	0	0	0	0	397	18120	1935184	5216	3591	122	235	0	o__Clostridiales (UID1212)	172	261	147	99	150	12	0	0	0	67.16	3.98	66.67	6	0	0	2	Faecalibacterium_cf.	49.679	1.94	Faecalibacterium	22.5321984886192
A13	bin.3	1705	330	44	0	0	0	0	0	0	0	2015125	643662	0	0	0	0	0	0	0	330	48667	2015125	6849	4345	89	180	0	o__Clostridiales (UID1212)	172	263	149	54	209	0	0	0	0	84.28	0	0	5	1	0	0	[Eubacterium]_siraeum	79.44	2.02	[Eubacterium]_siraeum	18.656386080268
A13	bin.4	3715	1083	25	0	0	0	0	0	0	0	4724280	330244	0	0	0	0	0	0	0	1083	29309	4724280	4424	3305	362	671	0	o__Bacteroidales (UID2657)	160	492	269	156	205	130	1	0	0	72.48	27.99	21.8	11	0	0	0	Bacteroides_(taxid	28.311	4.72	Bacteroides	13.4202354644517
A13	bin.5	1274	112	55	1	0	0	0	0	0	0	1414147	1102484	57058	0	0	0	0	0	0	112	57058	1414147	19024	11171	27	52	0	o__Clostridiales (UID1120)	304	250	143	26	222	2	0	0	0	88.79	1.4	50	22	1	1	1	Clostridium_sp.	56.848	1.41	Clostridium	28.4217270198926
A15	bin.1	8527	1852	208	0	0	0	0	0	0	0	11063972	3188620	0	0	0	0	0	0	0	1852	41822	11063972	6809	4314	493	1007	0	k__Bacteria (UID203)	5449	104	58	43	17	20	23	1	0	84.64	106.03	42.11	30	0	0	1	Bacteroides_vulgatus	24.592	11.06	Bacteroides	21.111048545676
A15	bin.2	232	57	4	0	0	0	0	0	0	0	299723	41528	0	0	0	0	0	0	0	57	10746	299723	5843	4175	19	34	0	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	12.93	0	0	NA	0	0	0	Bacteroidales_bacterium	48.578	0.3	Bacteroidales	16.0788461345976
A15	bin.3	1313	243	43	0	0	0	0	0	0	0	1675003	572656	0	0	0	0	0	0	0	243	21262	1675003	8101	5619	73	136	0	o__Bacteroidales (UID2617)	213	406	265	149	257	0	0	0	0	66.08	0	0	8	0	0	0	Bacteroidales_bacterium	68.851	1.68	Bacteroidales_bacterium	20.094680427438
A15	bin.4	274	87	0	0	0	0	0	0	0	0	308385	0	0	0	0	0	0	0	0	87	7849	308385	3390	2819	34	59	0	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	1.72	0	0	NA	0	0	0	Bacteroides_stercoris	88.865	0.31	Bacteroides_stercoris	11.2169852619291
A15	bin.5	897	276	2	0	0	0	0	0	0	0	1035733	22220	0	0	0	0	0	0	0	276	11948	1035733	3669	3025	105	182	0	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	26.72	0	0	NA	0	0	0	Alistipes_finegoldii	82.155	1.04	Alistipes_finegoldii	12.1257602104017
A15	bin.6	340	102	0	0	0	0	0	0	0	0	386012	0	0	0	0	0	0	0	0	102	9625	386012	3663	2989	38	68	0	k__Bacteria (UID203)	5449	103	57	96	6	1	0	0	0	10.53	1.75	0	NA	0	0	0	Ruminococcaceae_bacterium	95.692	0.39	Ruminococcaceae_bacterium	11.9790317399459
A15	bin.7	298	98	0	0	0	0	0	0	0	0	328147	0	0	0	0	0	0	0	0	98	6189	328147	3302	2876	41	68	0	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	13.95	0	0	NA	0	0	0	Oscillibacter_sp.	72.562	0.33	Oscillibacter_sp.	11.9447991296584
A16	bin.1	343	112	0	0	0	0	0	0	0	0	379722	0	0	0	0	0	0	0	0	112	7169	379722	3394	2834	46	77	0	k__Bacteria (UID203)	5449	102	56	93	9	0	0	0	0	16.07	0	0	NA	0	0	0	Faecalibacterium_prausnitzii	97.931	0.38	Faecalibacterium_prausnitzii	14.3595841168012
A16	bin.2	2946	510	76	0	0	0	0	0	0	0	3141855	1145673	0	0	0	0	0	0	0	510	36796	3141855	7090	4326	128	271	0	k__Bacteria (UID203)	5449	104	58	77	21	6	0	0	0	28.6	3.97	83.33	14	0	0	3	Prevotella_sp.	47.277	3.14	Prevotella	37.8468611695957
A16	bin.3	5227	1008	177	0	0	0	0	0	0	0	6659458	2775374	0	0	0	0	0	0	0	1008	44339	6659458	8514	4585	238	510	0	k__Bacteria (UID203)	5449	104	58	43	27	24	10	0	0	81.35	66.88	75.93	34	0	0	1	Prevotella_sp.	61.281	6.66	Prevotella_sp.	55.510778805122
A16	bin.4	815	245	1	0	0	0	0	0	0	0	953155	11240	0	0	0	0	0	0	0	245	11240	953155	4044	3073	90	159	0	k__Bacteria (UID203)	5449	103	57	80	22	1	0	0	0	23.92	0.16	0	NA	0	0	0	Clostridium_sp.	47.62	0.95	Clostridium	11.3215059460424
A17	bin.1	239	104	0	0	0	0	0	0	0	0	377972	0	0	0	0	0	0	0	0	104	7364	377972	3523	2903	40	70	0	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	7.84	0	0	NA	0	0	0	Prevotella_sp.	62.423	0.38	Prevotella_sp.	13.4128983099277
A17	bin.2	230	107	0	0	0	0	0	0	0	0	369999	0	0	0	0	0	0	0	0	107	6569	369999	3434	3019	45	73	0	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0	0	NA	0	0	0	Prevotella_sp.	97.185	0.37	Prevotella_sp.	11.9124646282828
A17	bin.3	1782	334	41	0	0	0	0	0	0	0	2097515	596184	0	0	0	0	0	0	0	334	35829	2097515	7391	4732	95	182	0	f__Lachnospiraceae (UID1286)	57	420	207	81	338	1	0	0	0	83.39	0.48	100	6	0	0	0	Roseburia_sp.	47.2	2.1	Roseburia	18.4417513104793
A17	bin.4	6438	1430	168	0	0	0	0	0	0	0	8259789	2290663	0	0	0	0	0	0	0	1430	29750	8259789	6550	4231	395	793	0	g__Prevotella (UID2724)	55	567	296	73	88	112	145	141	8	94.12	168.34	59.95	58	0	0	4	Prevotella_sp.	56.078	8.26	Prevotella	31.1760990504721
A17	bin.5	1529	327	22	0	0	0	0	0	0	0	1640349	314137	0	0	0	0	0	0	0	327	34720	1640349	5348	3571	95	189	0	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	4	0	0	0	Prevotella_sp.	49.329	1.64	Prevotella	21.3977025620767
A17	bin.6	1829	309	77	0	0	0	0	0	0	0	2398304	1132356	0	0	0	0	0	0	0	309	26988	2398304	9571	6011	84	165	0	k__Bacteria (UID203)	5449	104	58	53	50	1	0	0	0	71.69	1.72	0	8	0	0	1	Prevotella_sp.	98.565	2.4	Prevotella_sp.	36.1522350794561
A18	bin.1	1145	221	22	0	0	0	0	0	0	0	1274143	327246	0	0	0	0	0	0	0	221	31461	1274143	6165	4266	63	126	0	g__Streptococcus (UID561)	89	679	295	240	434	5	0	0	0	68.95	1.11	40	3	0	0	0	Streptococcus_parasanguinis	82.323	1.27	Streptococcus_parasanguinis	15.4760493916303
A18	bin.2	1120	244	8	0	0	0	0	0	0	0	1254147	126321	0	0	0	0	0	0	0	244	27878	1254147	5504	3922	77	145	0	g__Streptococcus (UID684)	26	668	229	222	411	35	0	0	0	64.59	2.27	45.71	NA	2	0	0	Streptococcus_salivarius	64.715	1.25	Streptococcus_salivarius	15.2246506988415
A18	bin.3	3592	286	133	8	0	0	0	0	0	0	4095687	3254473	500842	0	0	0	0	0	0	286	86430	4095687	23714	11256	54	117	0	k__Bacteria (UID203)	5449	104	58	0	2	102	0	0	0	100	96.55	51.96	51	2	0	6	Firmicutes_bacterium	81.23	4.1	Firmicutes_bacterium	31.8728579600931
