Sample	Bin	ANI	Phylum	Species
A24	maxbin.001	99.89333333333333	Bacteroidota	Bacteroidaceae
A24	maxbin.004	99.77272727272727	Firmicutes_A	Ruminococcaceae
A25	14	99.82857142857144	Proteobacteria	Succinivibrionaceae
A25	38	99.53214285714284	Firmicutes_A	CAG-727
A26	18	99.95925925925927	Firmicutes_A	CAG-272
A26	30	99.86666666666667	Firmicutes_A	Acutalibacteraceae
A26	33	99.71923076923076	Firmicutes	CAG-822
A26	6	99.40833333333332	Firmicutes_A	QALW01
A26	7	99.74545454545455	Bacteroidota	Bacteroidaceae
A26	bin.11	99.62	Firmicutes_A	Oscillospiraceae
A26	bin.13_sub	99.80909090909091	Firmicutes_A	Ruminococcaceae
A26	bin.8_sub	99.86666666666667	Firmicutes_A	Acutalibacteraceae
A26	maxbin.012_sub	99.92222222222222	Bacteroidota	Bacteroidaceae
A26	maxbin.014	99.64375	Firmicutes_A	CAG-727
A27	19	99.71333333333332	Firmicutes_A	Lachnospiraceae
A27	2	99.88181818181819	Firmicutes_A	Ruminococcaceae
A27	33	99.7	Firmicutes_A	Ruminococcaceae
A27	7	99.69444444444444	Firmicutes_A	CAG-138
A27	bin.2	99.79333333333334	Bacteroidota	Bacteroidaceae
A27	bin.6	99.79565217391306	Firmicutes_A	CAG-917
A27	bin.7	99.38461538461539	Bacteroidota	UBA932
A28	2	99.68888888888888	Firmicutes_A	Ruminococcaceae
A28	36	99.89428571428572	Firmicutes_A	Acutalibacteraceae
A28	39	99.10799999999999	Firmicutes_A	CAG-508
A28	55	99.94	Firmicutes_A	Acutalibacteraceae
A28	57	99.825	Proteobacteria	CAG-239
A28	6_sub	99.62727272727274	Firmicutes_A	Oscillospiraceae
A28	7	99.82307692307693	Firmicutes_A	CAG-138
A28	bin.11	99.73333333333335	Firmicutes_A	CAG-74
A28	bin.4	99.9576923076923	Firmicutes_A	Ruminococcaceae
A28	bin.9	99.65714285714286	Firmicutes_A	Oscillospiraceae
A28	maxbin.002_sub	99.8409090909091	Bacteroidota	Bacteroidaceae
A29	24	99.87692307692308	Firmicutes_A	Ruminococcaceae
A29	25	99.83157894736843	Firmicutes	CAG-313
A29	31	99.55862068965517	Firmicutes_A	UBA1242
A29	32	99.71538461538464	Firmicutes_A	CAG-917
A29	37	99.62727272727274	Firmicutes_A	Acutalibacteraceae
A29	7	80.76	Verrucomicrobiota	CAG-312
A29	8	99.87727272727274	Proteobacteria	Succinivibrionaceae
A29	bin.12	99.73846153846151	Firmicutes_A	CAG-138
A2	bin.1	99.85	Bacteroidota	Bacteroidaceae
A30	19_sub	99.76249999999999	Firmicutes_A	Acutalibacteraceae
A30	21	99.6875	Firmicutes_A	CAG-917
A30	22_sub	99.74545454545455	Firmicutes_A	CAG-138
A30	25	99.81904761904761	Proteobacteria	Succinivibrionaceae
A30	2	99.8	Bacteroidota	Bacteroidaceae
A30	30_sub	99.5	Firmicutes_A	CAG-138
A30	35	99.6608695652174	Bacteroidota	UBA932
A30	38	99.74799999999999	Bacteroidota	Bacteroidaceae
A30	45	99.2548387096774	Firmicutes	Erysipelotrichaceae
A30	bin.10	98.9921052631579	Spirochaetota	Sphaerochaetaceae
A30	bin.11	99.48823529411766	Bacteroidota	Bacteroidaceae
A30	maxbin.005_sub	99.94324324324324	Firmicutes_A	CAG-272
A31	1_sub	99.99666666666667	Bacteroidota	Bacteroidaceae
A31	25	99.88709677419355	Firmicutes_A	Acutalibacteraceae
A31	bin.4	99.84722222222223	Firmicutes_A	Ruminococcaceae
A31	maxbin.001	99.9090909090909	Bacteroidota	Bacteroidaceae
A31	maxbin.002	100.0	Bacteroidota	Bacteroidaceae
A32	11	99.57948717948719	Bacteroidota	UBA932
A32	28_sub	99.478125	Firmicutes_A	Oscillospiraceae
A32	43	99.69166666666666	Firmicutes_A	CAG-552
A32	50_sub	99.67692307692307	Bacteroidota	Bacteroidaceae
A32	bin.2	99.72499999999998	Bacteroidota	UBA932
A32	bin.4	99.95185185185186	Firmicutes_A	Acutalibacteraceae
A32	bin.5	99.81428571428572	Firmicutes_A	CAG-138
A32	bin.8	99.625	Firmicutes_A	Oscillospiraceae
A33	14	99.91999999999999	Firmicutes_A	Acutalibacteraceae
A33	bin.8	99.88947368421054	Bacteroidota	Bacteroidaceae
A33	bin.9	99.77857142857144	Bacteroidota	Bacteroidaceae
A33	maxbin.003	99.61052631578949	Firmicutes	CAG-288
A34	11_sub	99.9904761904762	Bacteroidota	Rikenellaceae
A34	24_sub	99.55	Firmicutes_A	CAG-138
A34	53_sub	99.75483870967743	Firmicutes_A	CAG-917
A34	bin.2	99.9107142857143	Firmicutes_A	Oscillospiraceae
A34	bin.4	99.78620689655175	Proteobacteria	Succinivibrionaceae
A34	maxbin.001	99.69166666666666	Firmicutes_A	Ruminococcaceae
A35	0	99.80833333333334	Firmicutes_A	Acutalibacteraceae
A35	18	99.72631578947369	Firmicutes_A	Acutalibacteraceae
A35	36	99.44736842105263	Firmicutes_A	Ruminococcaceae
A35	55	99.84400000000001	Cyanobacteria	Gastranaerophilaceae
A35	bin.12	99.93333333333334	Verrucomicrobiota	Akkermansiaceae
A35	bin.2	99.93636363636365	Actinobacteriota	Bifidobacteriaceae
A35	bin.4	99.83125000000001	Firmicutes_A	Oscillospiraceae
A35	bin.6_sub	99.81153846153848	Firmicutes_A	Ruminococcaceae
A35	bin.8	99.5	Bacteroidota	UBA932
A35	bin.9	99.803125	Firmicutes_A	CAG-138
A35	maxbin.003_sub	99.478125	Bacteroidota	UBA932
A36	16	99.51764705882353	Bacteroidota	Bacteroidaceae
A36	21	100.0	Bacteroidota	Rikenellaceae
A36	28_sub	99.8	Firmicutes_A	Ruminococcaceae
A36	6_sub	99.74166666666667	Firmicutes_A	Ruminococcaceae
A36	maxbin.007_sub	99.89	Firmicutes_A	Acutalibacteraceae
A36	maxbin.008	99.96521739130434	Proteobacteria	Enterobacteriaceae
A36	maxbin.013_sub	99.44444444444446	Firmicutes_A	Oscillospiraceae
A37	20	99.51739130434785	Firmicutes_A	Ruminococcaceae
A37	28_sub	99.8625	Bacteroidota	Rikenellaceae
A37	33	99.96206896551725	Bacteroidota	Bacteroidaceae
A37	35	99.89	Verrucomicrobiota	Akkermansiaceae
A37	42	99.94666666666667	Proteobacteria	Enterobacteriaceae
A38	3	99.71538461538461	Firmicutes_A	Ruminococcaceae
A38	47	99.6470588235294	Firmicutes_A	Ruminococcaceae
A38	maxbin.001	100.0	Bacteroidota	Bacteroidaceae
A38	maxbin.002_sub	99.9	Bacteroidota	Bacteroidaceae
A39	34	99.73	Firmicutes_A	Acutalibacteraceae
A39	4	99.94615384615385	Verrucomicrobiota	Akkermansiaceae
A39	bin.8	99.91999999999999	Firmicutes_A	Lachnospiraceae
A39	maxbin.001	99.71875	Bacteroidota	Bacteroidaceae
A41	27	99.66666666666667	Bacteroidota	Bacteroidaceae
A41	28	99.86	Firmicutes_A	Ruminococcaceae
A41	36	99.65217391304348	Bacteroidota	UBA932
A41	39	99.87333333333332	Firmicutes_A	Acutalibacteraceae
A41	3	99.58333333333333	Bacteroidota	UBA932
A4	14	99.6	Firmicutes_A	Ruminococcaceae
A41	52	99.74285714285716	Bacteroidota	Muribaculaceae
A41	7	99.57619047619049	Bacteroidota	Bacteroidaceae
A41	bin.12	100.0	Firmicutes_A	Acutalibacteraceae
A41	maxbin.014	99.74666666666667	Firmicutes_A	CAG-727
A41	maxbin.015_sub	99.84545454545454	Firmicutes_A	Lachnospiraceae
A42	10	99.7	Firmicutes_A	Ruminococcaceae
A42	bin.1	99.72500000000001	Bacteroidota	UBA932
A42	maxbin.001_sub	99.7578947368421	Bacteroidota	Bacteroidaceae
A43	18	99.98918918918919	Bacteroidota	Barnesiellaceae
A43	32_sub	99.984	Bacteroidota	Bacteroidaceae
A43	3	99.52727272727272	Firmicutes_A	CAG-138
A43	40_sub	99.85833333333333	Firmicutes_A	Acutalibacteraceae
A43	bin.12	100.0	Proteobacteria	CAG-239
A43	bin.7	99.71333333333332	Firmicutes_A	Oscillospiraceae
A43	maxbin.002	99.98333333333333	Bacteroidota	Rikenellaceae
A43	maxbin.003	99.98620689655172	Firmicutes_A	Acutalibacteraceae
A44	19	99.76363636363635	Proteobacteria	Pasteurellaceae
A44	5	99.8	Proteobacteria	Enterobacteriaceae
A44	bin.6	99.92142857142856	Bacteroidota	Bacteroidaceae
A45	0_sub	99.78333333333335	Bacteroidota	Bacteroidaceae
A45	37	99.51249999999999	Bacteroidota	UBA932
A45	44	99.75714285714288	Bacteroidota	Bacteroidaceae
A45	8	99.76153846153845	Firmicutes_A	Acutalibacteraceae
A45	bin.3	99.99166666666667	Bacteroidota	Bacteroidaceae
A45	maxbin.003	99.85000000000001	Bacteroidota	Bacteroidaceae
A46	11	100.0	Proteobacteria	Enterobacteriaceae
A46	27	99.83181818181819	Firmicutes_A	Acutalibacteraceae
A46	29	99.92	Firmicutes_A	Ruminococcaceae
A46	37	99.91333333333334	Actinobacteriota	Bifidobacteriaceae
A46	bin.12	99.98888888888888	Verrucomicrobiota	Akkermansiaceae
A46	bin.6_sub	99.94761904761906	Bacteroidota	Bacteroidaceae
A46	bin.9	99.97	Bacteroidota	Rikenellaceae
A46	maxbin.002_sub	99.97857142857143	Bacteroidota	Bacteroidaceae
A46	maxbin.012_sub	99.92142857142856	Firmicutes_A	Ruminococcaceae
A47	10	99.84848484848483	Firmicutes_A	Lachnospiraceae
A47	14	99.58	Firmicutes_A	Acutalibacteraceae
A47	16	99.68461538461537	Firmicutes_A	CAG-917
A47	17	99.83103448275861	Firmicutes_A	Ruminococcaceae
A47	19	99.28888888888889	Bacteroidota	UBA932
A47	1	99.84	Firmicutes_A	CAG-138
A47	22	99.62916666666666	Firmicutes_A	Oscillospiraceae
A47	26	99.44054054054054	Firmicutes_A	Oscillospiraceae
A47	27	99.74615384615383	Firmicutes_A	Lachnospiraceae
A47	32	99.69655172413792	Firmicutes_A	CAG-138
A47	6	99.59375	Firmicutes_C	Acidaminococcaceae
A48	10	99.85000000000001	Firmicutes_A	Acutalibacteraceae
A48	38	99.9470588235294	Proteobacteria	Burkholderiaceae
A48	3	99.76666666666667	Bacteroidota	Bacteroidaceae
A48	bin.5	99.69090909090909	Bacteroidota	Bacteroidaceae
A49	30	100.0	Bacteroidota	Rikenellaceae
A49	49_sub	99.7	Firmicutes_A	Ruminococcaceae
A49	6_sub	99.79166666666667	Bacteroidota	Bacteroidaceae
A49	bin.10	99.72222222222223	Firmicutes_A	Oscillospiraceae
A49	bin.11	99.97027027027028	Firmicutes_A	Oscillospiraceae
A49	bin.2	99.92727272727271	Firmicutes_A	Ruminococcaceae
A49	maxbin.002	99.95142857142858	Firmicutes_A	Acutalibacteraceae
A49	maxbin.003_sub	99.85833333333335	Bacteroidota	Bacteroidaceae
A4	maxbin.001	99.65454545454546	Bacteroidota	Bacteroidaceae
A4	maxbin.002	99.744	Bacteroidota	Bacteroidaceae
A50	10	99.65294117647058	Bacteroidota	Muribaculaceae
A50	13	99.75714285714285	Bacteroidota	UBA932
A50	17	99.78999999999999	Firmicutes_A	Ruminococcaceae
A50	22	99.63888888888889	Verrucomicrobiota	UBA1407
A50	30	99.51282051282053	Firmicutes_A	CAG-917
A50	39	99.82	Firmicutes_A	Ruminococcaceae
A50	41	99.84615384615384	Firmicutes_A	Acutalibacteraceae
A50	45	99.9111111111111	Firmicutes_A	CAG-138
A50	bin.10	99.82051282051282	Firmicutes_A	Acutalibacteraceae
A50	bin.4	99.85384615384615	Proteobacteria	Succinivibrionaceae
A50	maxbin.006_sub	99.8	Firmicutes_A	Lachnospiraceae
A51	17	99.84210526315789	Firmicutes_A	Ruminococcaceae
A51	2	99.75	Firmicutes_A	Lachnospiraceae
A51	bin.4	99.77777777777777	Bacteroidota	Bacteroidaceae
A52	12_sub	99.92647058823529	Firmicutes_A	Lachnospiraceae
A52	36	99.57857142857144	Firmicutes_A	Lachnospiraceae
A52	3_sub	99.9125	Proteobacteria	Burkholderiaceae
A52	9	99.92	Firmicutes_A	Acutalibacteraceae
A52	bin.9	100.0	Bacteroidota	Rikenellaceae
A52	maxbin.001	99.86428571428573	Bacteroidota	Bacteroidaceae
A52	maxbin.002	99.75	Bacteroidota	Bacteroidaceae
A52	maxbin.003_sub	100.0	Bacteroidota	Bacteroidaceae
A53	10	99.80000000000001	Bacteroidota	Muribaculaceae
A53	11	99.73684210526316	Firmicutes_A	Acutalibacteraceae
A53	19	99.53636363636365	Proteobacteria	Pasteurellaceae
A53	33_sub	99.87272727272726	Firmicutes_A	Ruminococcaceae
A53	35	99.66	Firmicutes_A	Ruminococcaceae
A53	38	99.84615384615384	Firmicutes_A	CAG-74
A53	bin.6	99.95714285714287	Firmicutes_A	Lachnospiraceae
A53	bin.8	99.46666666666667	Bacteroidota	UBA932
A53	maxbin.003_sub	99.95882352941176	Bacteroidota	Bacteroidaceae
A54	17	99.78666666666666	Firmicutes_A	CAG-917
A54	1	99.70000000000002	Firmicutes_A	Oscillospiraceae
A54	20	99.59166666666668	Bacteroidota	UBA932
A54	39	99.55999999999999	Verrucomicrobiota	CAG-312
A54	49	99.20857142857143	Myxococcota	UBA4248
A54	59	99.87272727272726	Proteobacteria	Succinivibrionaceae
A54	60_sub	99.66666666666667	Verrucomicrobiota	UBA1407
A54	bin.14	99.82	Verrucomicrobiota	UBA1067
A54	bin.4	99.67333333333333	Firmicutes_A	Acutalibacteraceae
A54	maxbin.013_sub	99.60000000000001	Spirochaetota	Treponemataceae
A55	19	99.57777777777778	Bacteroidota	UBA932
A55	21	99.50000000000001	Bacteroidota	Muribaculaceae
A55	26	99.76249999999999	Firmicutes_A	Acutalibacteraceae
A55	27	99.79032258064518	Proteobacteria	Succinivibrionaceae
A55	3_sub	99.66	Firmicutes_A	Oscillospiraceae
A55	9	99.71	Bacteroidota	UBA932
A55	maxbin.001_sub	99.76153846153846	Bacteroidota	Bacteroidaceae
A56	12	99.47	Bacteroidota	UBA932
A56	16	99.84166666666665	Firmicutes_A	Acutalibacteraceae
A56	17	99.90666666666668	Firmicutes_A	Lachnospiraceae
A56	bin.17	99.92105263157895	Firmicutes_A	Acutalibacteraceae
A56	maxbin.001	99.84166666666665	Bacteroidota	Bacteroidaceae
A57	0	99.82727272727274	Actinobacteriota	Bifidobacteriaceae
A57	16	99.70909090909093	Bacteroidota	Tannerellaceae
A57	22	99.75909090909092	Firmicutes_A	CAG-917
A57	23	99.97096774193548	Bacteroidota	Rikenellaceae
A57	27	99.75	Firmicutes_A	Acutalibacteraceae
A57	34	99.81666666666666	Firmicutes_A	Acutalibacteraceae
A57	bin.5	99.61764705882354	Bacteroidota	UBA932
A58	10	99.65454545454546	Bacteroidota	UBA932
A58	18_sub	99.86451612903227	Firmicutes_A	Acutalibacteraceae
A58	23	99.695	Firmicutes_A	CAG-272
A58	25	99.38571428571427	Bacteroidota	Bacteroidaceae
A58	49	99.67333333333333	Proteobacteria	Succinivibrionaceae
A58	bin.5	99.67272727272729	Firmicutes_A	Oscillospiraceae
A58	bin.9	99.82	Firmicutes_A	Acutalibacteraceae
A58	maxbin.002	99.60499999999999	Bacteroidota	Muribaculaceae
A58	maxbin.015_sub	100.0	Firmicutes_A	Lachnospiraceae
A59	37	99.39999999999999	Firmicutes_A	Ruminococcaceae
A59	40	99.76153846153846	Cyanobacteria	Gastranaerophilaceae
A59	41	99.775	Firmicutes_A	Ruminococcaceae
A59	bin.4	99.81333333333332	Proteobacteria	Succinivibrionaceae
A59	maxbin.001	99.32352941176471	Bacteroidota	Bacteroidaceae
A60	39	99.69090909090909	Firmicutes_A	Lachnospiraceae
A60	bin.2	99.86333333333332	Proteobacteria	Succinivibrionaceae
A60	bin.5	99.71111111111111	Bacteroidota	UBA932
A61	10	99.79285714285716	Bacteroidota	Bacteroidaceae
A61	22	99.61538461538461	Firmicutes_A	Acutalibacteraceae
A61	2	99.490625	Bacteroidota	UBA932
A61	33	99.72941176470589	Cyanobacteria	Gastranaerophilaceae
A61	34	99.05999999999999	Firmicutes_A	Ruminococcaceae
A61	7	99.55263157894737	Firmicutes_C	Selenomonadaceae
A61	bin.7	99.84	Proteobacteria	Succinivibrionaceae
A62	16	99.77857142857144	Firmicutes_A	CAG-917
A62	20	99.0875	Firmicutes	CAG-826
A62	32	99.81904761904761	Bacteroidota	Bacteroidaceae
A62	35	99.79999999999998	Proteobacteria	Succinivibrionaceae
A62	38	99.66666666666669	Bacteroidota	Bacteroidaceae
A6	29	99.9235294117647	Verrucomicrobiota	Akkermansiaceae
A62	bin.10	99.69545454545454	Bacteroidota	UBA932
A62	maxbin.002_sub	99.65625	Bacteroidota	Bacteroidaceae
A63	0_sub	99.4909090909091	Firmicutes_A	Oscillospiraceae
A63	16_sub	99.68571428571428	Bacteroidota	Tannerellaceae
A63	23	99.66	Firmicutes_A	CAG-272
A63	33	99.74999999999999	Bacteroidota	Bacteroidaceae
A63	39	99.490625	Firmicutes_A	CAG-138
A6	34_sub	99.56500000000001	Firmicutes_A	Acutalibacteraceae
A6	35	99.65882352941176	Proteobacteria	Enterobacteriaceae
A63	5	99.75	Firmicutes_A	Acutalibacteraceae
A63	bin.12	99.575	Verrucomicrobiota	UBA1407
A63	bin.2	99.80000000000001	Firmicutes_A	Lachnospiraceae
A63	bin.3	99.56153846153845	Bacteroidota	Muribaculaceae
A63	bin.5	99.85714285714286	Firmicutes_A	Ruminococcaceae
A63	maxbin.006_sub	99.54375	Firmicutes_A	Oscillospiraceae
A6	40	99.93684210526315	Bacteroidota	Barnesiellaceae
A64	14_sub	99.57499999999999	Firmicutes_A	Acutalibacteraceae
A64	20	99.71111111111111	Bacteroidota	Muribaculaceae
A6	42_sub	99.81481481481484	Firmicutes_A	Lachnospiraceae
A64	36_sub	99.51428571428572	Firmicutes_A	Ruminococcaceae
A64	45	99.53333333333335	Bacteroidota	Bacteroidaceae
A6	49	99.94761904761906	Bacteroidota	Rikenellaceae
A64	bin.13	99.9060606060606	Firmicutes_A	Acutalibacteraceae
A64	bin.1	99.64285714285714	Firmicutes_A	Oscillospiraceae
A64	bin.5_sub	99.73928571428573	Firmicutes_A	Oscillospiraceae
A64	bin.7_sub	99.95172413793105	Firmicutes_A	CAG-272
A64	bin.8	99.92105263157895	Firmicutes_A	Acutalibacteraceae
A64	bin.9	99.78461538461539	Firmicutes_A	Ruminococcaceae
A64	maxbin.001	99.95714285714286	Firmicutes_A	CAG-138
A6	57_sub	99.83181818181816	Firmicutes_A	Lachnospiraceae
A66	12	99.98947368421052	Bacteroidota	Bacteroidaceae
A66	1	99.352	Firmicutes_A	Oscillospiraceae
A66	bin.3	99.7	Firmicutes_A	Lachnospiraceae
A66	bin.4	99.72105263157896	Firmicutes_A	Lachnospiraceae
A67	10	99.89500000000001	Firmicutes_A	Acutalibacteraceae
A67	22	99.65454545454546	Bacteroidota	Bacteroidaceae
A67	29	99.71578947368421	Firmicutes_A	CAG-727
A67	30	99.59	Firmicutes_A	Ruminococcaceae
A67	bin.10	99.9741935483871	Firmicutes_A	CAG-272
A67	bin.7	99.76666666666668	Firmicutes_A	CAG-272
A67	bin.9	99.59230769230768	Firmicutes	CAG-288
A68	14	99.56296296296296	Firmicutes_A	CAG-272
A68	16	99.69333333333334	Firmicutes_A	CAG-917
A68	2_sub	99.79999999999998	Firmicutes_A	CAG-508
A68	4	99.86129032258064	Firmicutes_A	CAG-138
A68	bin.4_sub	99.8421052631579	Firmicutes_A	Acutalibacteraceae
A68	bin.5_sub	99.9875	Bacteroidota	Bacteroidaceae
A68	bin.9_sub	99.6	Firmicutes_A	Oscillospiraceae
A68	maxbin.012	99.74285714285712	Verrucomicrobiota	CAG-312
A69	21	99.89333333333335	Verrucomicrobiota	Akkermansiaceae
A69	22	99.81	Firmicutes_A	CAG-138
A69	bin.1	100.0	Proteobacteria	Enterobacteriaceae
A69	bin.3	99.93181818181819	Bacteroidota	Bacteroidaceae
A6	bin.10	99.77333333333333	Firmicutes_A	Ruminococcaceae
A6	bin.14	99.72142857142856	Firmicutes_A	Acutalibacteraceae
A6	maxbin.001	99.97812499999999	Bacteroidota	Bacteroidaceae
A6	maxbin.003	99.86842105263156	Firmicutes_A	Lachnospiraceae
A70	14_sub	99.73333333333332	Firmicutes_A	Ruminococcaceae
A70	15	99.77368421052631	Firmicutes_A	Acutalibacteraceae
A70	37	99.58000000000001	Verrucomicrobiota	UBA1407
A70	41	99.66538461538462	Bacteroidota	Muribaculaceae
A70	43	99.84375	Firmicutes_A	Lachnospiraceae
A70	45	99.89090909090909	Firmicutes_A	Lachnospiraceae
A70	5	99.43157894736844	Firmicutes_A	CAG-138
A70	7	99.86666666666667	Firmicutes_A	CAG-272
A70	bin.3	99.76153846153846	Elusimicrobiota	Elusimicrobiaceae
A70	bin.4	99.85000000000001	Firmicutes_A	CAG-465
A70	bin.8	99.6875	Firmicutes_A	Oscillospiraceae
A71	1	99.88461538461539	Firmicutes_A	Lachnospiraceae
A71	37_sub	99.56666666666666	Firmicutes_A	CAG-138
A71	41_sub	99.96666666666667	Firmicutes_C	Acidaminococcaceae
A71	bin.10	99.83846153846153	Firmicutes_A	Acutalibacteraceae
A71	bin.14_sub	99.8076923076923	Firmicutes_A	Lachnospiraceae
A71	bin.3	99.88666666666667	Proteobacteria	Succinivibrionaceae
A71	bin.9_sub	100.0	Bacteroidota	Bacteroidaceae
A71	maxbin.011	99.955	Proteobacteria	Enterobacteriaceae
A72	3	99.8	Bacteroidota	Bacteroidaceae
A72	bin.3	99.76363636363635	Bacteroidota	Bacteroidaceae
A72	bin.4	99.6	Firmicutes_A	Lachnospiraceae
A72	maxbin.001_sub	99.86	Bacteroidota	Bacteroidaceae
A73	29	99.6857142857143	Firmicutes_A	CAG-917
A73	30	99.83529411764707	Bacteroidota	Muribaculaceae
A73	36	99.82000000000001	Firmicutes_A	Acutalibacteraceae
A73	42	99.95555555555555	Bacteroidota	Rikenellaceae
A73	7	99.86153846153844	Firmicutes_A	Lachnospiraceae
A73	bin.7	99.45294117647059	Bacteroidota	Bacteroidaceae
A73	maxbin.002_sub	99.60000000000001	Firmicutes_A	Ruminococcaceae
A73	maxbin.006_sub	99.85999999999999	Firmicutes_A	Lachnospiraceae
A75	11	99.67272727272729	Bacteroidota	UBA932
A75	7	99.7375	Bacteroidota	Bacteroidaceae
A75	9_sub	99.8	Verrucomicrobiota	CAG-312
A75	bin.1_sub	99.74666666666666	Firmicutes_A	Acutalibacteraceae
A75	maxbin.002	99.79166666666667	Firmicutes_A	Acutalibacteraceae
A77	16	99.86	Firmicutes_A	Acutalibacteraceae
A77	21	99.885	Firmicutes_A	Ruminococcaceae
A77	bin.10	99.73076923076923	Firmicutes_A	Lachnospiraceae
A77	bin.5	99.77692307692308	Bacteroidota	UBA932
A77	bin.7	99.8125	Proteobacteria	Succinivibrionaceae
A77	bin.8	99.98260869565217	Verrucomicrobiota	Akkermansiaceae
A77	bin.9	99.85384615384616	Bacteroidota	Bacteroidaceae
A78	18	99.6148148148148	Firmicutes_A	Oscillospiraceae
A78	19	99.63571428571429	Firmicutes_A	CAG-138
A78	22	99.64444444444445	Firmicutes_A	CAG-917
